player+team,rounds_played,vlr_rating,acs,kd,kast,adr,kpr,apr,dpr,fkpr,fdpr,hs_percent,cl_percent,group,year
averyKB,1800,1.14,201.4,1.19,0.78,133.1,0.71,0.4,0.6,0.07,0.05,0.25,0.23,gc,2024
fletcherRESO,626,1.14,201.3,1.17,0.78,128.8,0.72,0.45,0.61,0.08,0.06,0.26,0.19,challengers,2023
LazeeEMP,264,1.14,201.1,1.1,0.79,127.9,0.68,0.47,0.62,0.08,0.06,0.19,0.26,challengers,2023
micaelaKRÜ.B,1255,1.14,200.7,1.23,0.79,133.1,0.74,0.38,0.6,0.09,0.09,0.34,0.22,gc,2024
CodeZendiiiAUR,352,1.14,200.5,1.14,0.74,133.1,0.72,0.44,0.63,0.05,0.05,0.3,0.24,gc,2024
ShyyKRÜ,569,1.14,200.0,1.21,0.74,135.2,0.75,0.21,0.62,0.07,0.05,0.26,0.19,vct,2025
MitedEXL,724,1.14,198.4,1.24,0.78,134.4,0.69,0.29,0.56,0.06,0.05,0.23,0.16,challengers,2025
MelMIBR.GC,602,1.14,198.1,1.13,0.79,131.2,0.7,0.39,0.61,0.09,0.06,0.25,0.17,gc,2025
fukukenDLTT,226,1.14,197.5,1.2,0.79,125.6,0.7,0.47,0.58,0.04,0.04,0.32,0.26,challengers,2025
COCOYEAHNAH,296,1.14,197.4,1.15,0.75,128.2,0.71,0.3,0.62,0.05,0.03,0.24,0.24,challengers,2024
mimiG2.G,601,1.14,196.3,1.14,0.78,127.2,0.7,0.5,0.61,0.06,0.05,0.3,0.14,gc,2025
ShaoNAVI,1311,1.14,194.0,1.17,0.76,129.0,0.7,0.32,0.6,0.07,0.05,0.35,0.21,vct,2023
AvovAAPK,1240,1.14,188.4,1.23,0.78,122.6,0.7,0.36,0.57,0.08,0.07,0.4,0.29,challengers,2024
RocoZEN,246,1.14,186.9,1.19,0.78,120.7,0.65,0.55,0.55,0.04,0.05,0.27,0.21,challengers,2023
signedJJH,284,1.14,184.1,1.01,0.78,128.0,0.65,0.46,0.64,0.05,0.04,0.22,0.13,vct,2023
Gill X2VEL,527,1.13,280.6,1.24,0.71,178.1,0.96,0.15,0.77,0.25,0.18,0.36,0.2,gc,2023
ARiMA,258,1.13,277.0,1.24,0.74,176.3,0.95,0.19,0.77,0.23,0.19,0.22,0.1,challengers,2025
Atom200iq,232,1.13,269.9,1.14,0.77,177.2,0.92,0.25,0.81,0.16,0.13,0.23,0.11,challengers,2024
Lawless5 Kn,284,1.13,269.1,1.1,0.71,177.1,0.91,0.21,0.83,0.21,0.21,0.24,0.31,gc,2025
SovanoAPH,235,1.13,267.5,1.17,0.72,172.6,0.94,0.18,0.8,0.2,0.21,0.28,0.04,challengers,2023
flasHHLoaf,221,1.13,265.3,1.14,0.68,166.1,0.87,0.17,0.76,0.22,0.22,0.24,0.06,challengers,2024
fffhs,207,1.13,262.6,1.14,0.71,168.3,0.91,0.14,0.8,0.17,0.13,0.29,0.13,gc,2023
ZeravlaBULL,253,1.13,262.4,1.15,0.72,164.0,0.89,0.19,0.77,0.18,0.13,0.27,0.13,challengers,2025
sonderFLY,1132,1.13,261.0,1.18,0.73,167.3,0.88,0.29,0.74,0.21,0.19,0.21,0.08,gc,2023
xKittyxRZN,546,1.13,261.0,1.13,0.68,167.7,0.9,0.16,0.79,0.17,0.16,0.38,0.08,gc,2024
illumiANTC,363,1.13,260.8,1.19,0.71,171.9,0.91,0.18,0.76,0.22,0.18,0.26,0.09,challengers,2024
xKittyxRZN,360,1.13,260.7,1.18,0.7,169.5,0.91,0.16,0.77,0.23,0.18,0.41,0.31,gc,2025
Dorie VT,678,1.13,259.5,1.16,0.68,170.6,0.9,0.16,0.77,0.18,0.12,0.31,0.1,gc,2025
jasEP,1017,1.13,258.0,1.15,0.71,166.8,0.87,0.22,0.76,0.21,0.17,0.26,0.16,challengers,2023
XanNAOS,1144,1.13,257.7,1.21,0.74,164.6,0.89,0.23,0.74,0.2,0.16,0.25,0.25,challengers,2024
LucidityOni,227,1.13,257.1,1.09,0.7,169.3,0.86,0.31,0.79,0.19,0.16,0.18,0.14,gc,2023
marcelineSOL,594,1.13,254.4,1.15,0.71,164.2,0.85,0.24,0.73,0.19,0.15,0.22,0.15,gc,2023
XutoBMC,343,1.13,254.4,1.19,0.71,163.5,0.87,0.2,0.73,0.18,0.15,0.24,0.12,challengers,2024
AngelaFSC,745,1.13,252.9,1.23,0.75,164.1,0.86,0.25,0.7,0.18,0.17,0.19,0.3,gc,2024
moefcuteUBT,824,1.13,251.4,1.2,0.69,163.4,0.89,0.16,0.75,0.19,0.18,0.3,0.12,challengers,2024
MyoH4nNEOTO,520,1.13,251.3,1.24,0.73,162.7,0.88,0.17,0.71,0.14,0.14,0.27,0.12,gc,2024
Zodiac,545,1.13,251.3,1.17,0.75,165.6,0.85,0.24,0.73,0.21,0.14,0.22,0.16,gc,2024
babyrhea,330,1.13,251.3,1.13,0.78,162.7,0.85,0.28,0.75,0.19,0.14,0.23,0.2,gc,2025
whzyToe,585,1.13,250.5,1.14,0.71,160.1,0.86,0.21,0.76,0.2,0.16,0.19,0.04,vct,2023
FETAFH,907,1.13,249.9,1.18,0.73,160.7,0.87,0.22,0.74,0.19,0.17,0.29,0.13,challengers,2023
SleepycakeyRIMA,265,1.13,248.9,1.24,0.73,159.2,0.85,0.25,0.69,0.17,0.16,0.2,0.14,gc,2024
Dango,269,1.13,248.7,1.12,0.69,163.1,0.85,0.22,0.76,0.18,0.16,0.18,0.13,gc,2023
vexVSH,354,1.13,248.6,1.21,0.68,131.9,0.87,0.13,0.71,0.19,0.16,0.23,0.12,challengers,2025
luleCLT,1218,1.13,248.5,1.17,0.74,163.1,0.84,0.22,0.72,0.2,0.16,0.2,0.19,gc,2023
keznitKRÜ,873,1.13,248.1,1.16,0.71,165.2,0.85,0.22,0.74,0.18,0.16,0.22,0.18,vct,2023
DasaniHSW,1370,1.13,247.4,1.19,0.73,161.8,0.86,0.2,0.73,0.22,0.15,0.33,0.12,challengers,2024
FullMoonEOTO,476,1.13,246.8,1.23,0.68,158.0,0.84,0.22,0.69,0.17,0.13,0.27,0.13,gc,2024
Yuno,257,1.13,245.2,1.19,0.68,158.1,0.87,0.14,0.73,0.21,0.16,0.31,0.14,gc,2023
ACEFOC,428,1.13,244.7,1.19,0.72,131.2,0.86,0.21,0.72,0.15,0.15,0.33,0.34,challengers,2025
SimonD4rkDSY,1939,1.13,244.1,1.24,0.74,159.6,0.86,0.2,0.7,0.17,0.14,0.21,0.17,challengers,2024
grahamsASND,486,1.13,243.5,1.19,0.7,157.6,0.85,0.2,0.71,0.18,0.17,0.3,0.27,gc,2025
Jaena,251,1.13,243.5,1.13,0.67,157.0,0.85,0.22,0.75,0.13,0.14,0.24,0.32,gc,2025
OutLaw,304,1.13,243.4,1.18,0.69,151.0,0.86,0.17,0.73,0.18,0.13,0.25,0.17,challengers,2023
arielGHST,650,1.13,243.4,1.26,0.72,156.8,0.88,0.15,0.7,0.17,0.14,0.36,0.17,gc,2023
Zap2G,286,1.13,243.0,1.32,0.72,155.0,0.84,0.2,0.64,0.16,0.12,0.21,0.17,challengers,2023
cruteOutl,203,1.13,242.6,1.16,0.7,154.0,0.87,0.14,0.75,0.15,0.11,0.34,0.08,challengers,2023
araGX,634,1.13,242.6,1.19,0.71,155.4,0.86,0.17,0.72,0.18,0.15,0.26,0.19,challengers,2024
SyouTaZETA,1409,1.13,241.9,1.22,0.71,156.5,0.87,0.17,0.71,0.18,0.15,0.28,0.19,challengers,2024
iXeonNNVS,313,1.13,241.8,1.2,0.73,158.2,0.85,0.17,0.71,0.18,0.12,0.25,0.24,challengers,2024
mirko,462,1.13,241.6,1.12,0.7,160.5,0.84,0.19,0.75,0.19,0.14,0.3,0.21,gc,2023
tehxZEN,212,1.13,241.2,1.2,0.68,154.3,0.84,0.21,0.7,0.18,0.12,0.15,0.14,challengers,2024
Jazzyk1nsFLY,1107,1.13,240.4,1.2,0.73,157.2,0.81,0.27,0.68,0.18,0.17,0.2,0.28,gc,2023
rocaAI,347,1.13,240.3,1.22,0.7,150.7,0.87,0.16,0.71,0.22,0.15,0.29,0.12,challengers,2023
majusiaNOVO.NI,1462,1.13,239.5,1.19,0.7,156.4,0.85,0.18,0.71,0.19,0.17,0.27,0.17,gc,2024
Keziah,219,1.13,239.3,1.24,0.71,158.7,0.86,0.17,0.7,0.09,0.07,0.28,0.19,gc,2025
gbMoto,265,1.13,238.9,1.24,0.72,149.9,0.83,0.17,0.67,0.11,0.11,0.2,0.14,challengers,2023
wiffiFG,253,1.13,238.9,1.13,0.75,152.0,0.83,0.29,0.74,0.13,0.13,0.21,0.19,gc,2023
AivyDIS.E,234,1.13,238.8,1.23,0.73,159.7,0.85,0.21,0.69,0.18,0.14,0.27,0.16,gc,2025
SwayZMU,487,1.13,238.7,1.22,0.73,158.4,0.86,0.15,0.7,0.2,0.15,0.31,0.15,challengers,2024
k1ngkappaS8UL,356,1.13,238.2,1.2,0.73,150.5,0.84,0.2,0.7,0.15,0.08,0.35,0.11,challengers,2025
Cyrax,277,1.13,238.0,1.18,0.75,156.1,0.84,0.18,0.71,0.16,0.14,0.24,0.19,challengers,2024
NatalciaINC.GC,1499,1.13,237.5,1.16,0.72,159.0,0.84,0.22,0.72,0.13,0.09,0.31,0.13,gc,2023
DrealeXJNYX,698,1.13,236.4,1.16,0.74,117.9,0.82,0.2,0.71,0.15,0.13,0.27,0.12,gc,2025
umu73BL,245,1.13,233.7,1.25,0.76,149.6,0.82,0.18,0.66,0.2,0.14,0.27,0.26,challengers,2025
W1nnerONE,1269,1.13,232.8,1.29,0.75,150.0,0.82,0.25,0.63,0.13,0.1,0.27,0.15,challengers,2023
EL1TEAmul,239,1.13,232.7,1.16,0.74,154.0,0.8,0.3,0.69,0.12,0.12,0.31,0.21,challengers,2024
Jww,474,1.13,232.7,1.19,0.75,151.8,0.84,0.23,0.71,0.12,0.09,0.23,0.23,gc,2024
SachiBAS.K,281,1.13,231.8,1.23,0.69,142.1,0.83,0.19,0.67,0.12,0.1,0.26,0.29,gc,2025
ScarlettFMG.GC,1106,1.13,231.3,1.24,0.76,147.5,0.81,0.24,0.65,0.19,0.12,0.24,0.13,gc,2024
P0PPINNV,1056,1.13,230.7,1.22,0.74,146.5,0.82,0.27,0.67,0.16,0.13,0.24,0.28,challengers,2024
KairoKZ,784,1.13,230.2,1.14,0.76,149.3,0.81,0.27,0.71,0.08,0.1,0.24,0.13,challengers,2023
ceachy,235,1.13,230.2,1.14,0.77,145.9,0.81,0.37,0.71,0.11,0.09,0.23,0.0,gc,2023
xussFKS,935,1.13,230.2,1.26,0.7,144.9,0.83,0.13,0.66,0.2,0.14,0.28,0.13,challengers,2025
flows,599,1.13,229.8,1.24,0.76,148.4,0.82,0.32,0.67,0.11,0.09,0.24,0.12,gc,2023
W1chiZEN,563,1.13,229.0,1.21,0.74,148.8,0.81,0.2,0.67,0.11,0.12,0.2,0.17,challengers,2023
Cryocells100T,1176,1.13,228.7,1.2,0.73,147.5,0.83,0.23,0.69,0.14,0.1,0.25,0.19,vct,2024
doorPXU.GC,383,1.13,228.6,1.19,0.73,148.2,0.81,0.19,0.68,0.23,0.13,0.24,0.13,gc,2023
JemkinRRQ,708,1.13,228.5,1.22,0.75,147.1,0.83,0.15,0.68,0.13,0.14,0.31,0.19,vct,2024
RKNYRIMA,780,1.13,228.2,1.16,0.74,153.1,0.79,0.23,0.68,0.09,0.08,0.16,0.16,gc,2023
MartiDVM.MI,1314,1.13,227.5,1.14,0.73,145.5,0.8,0.35,0.7,0.14,0.15,0.25,0.15,gc,2023
TempuraNTH,252,1.13,227.3,1.11,0.77,145.7,0.79,0.45,0.71,0.12,0.06,0.25,0.3,challengers,2023
skarWild,307,1.13,227.2,1.2,0.71,149.6,0.83,0.21,0.69,0.16,0.12,0.19,0.11,gc,2024
SyuRakuINS,234,1.13,227.0,1.15,0.73,147.0,0.78,0.33,0.68,0.06,0.08,0.25,0.09,challengers,2023
WinteryrookQAD,1270,1.13,226.9,1.13,0.74,143.6,0.77,0.43,0.68,0.09,0.08,0.25,0.25,challengers,2023
leafG2,1244,1.13,226.8,1.18,0.74,148.6,0.8,0.27,0.68,0.13,0.1,0.24,0.14,vct,2025
auraKIWI,477,1.13,226.7,1.13,0.74,148.1,0.8,0.32,0.71,0.12,0.07,0.28,0.21,gc,2025
falltwZTA,1754,1.13,226.5,1.17,0.74,145.1,0.79,0.38,0.67,0.1,0.09,0.26,0.16,challengers,2023
FeezRC,202,1.13,226.4,1.28,0.72,145.7,0.78,0.21,0.61,0.07,0.04,0.16,0.07,challengers,2023
xeniaHOWL.M,884,1.13,226.1,1.21,0.73,150.4,0.82,0.29,0.68,0.12,0.11,0.34,0.22,gc,2024
aluvilyFLY,1081,1.13,226.1,1.2,0.75,150.5,0.82,0.25,0.68,0.11,0.08,0.32,0.17,gc,2024
KovaQATN,1100,1.13,225.5,1.14,0.7,148.0,0.79,0.32,0.69,0.11,0.09,0.29,0.23,challengers,2024
vit9ineTBK,337,1.13,225.4,1.24,0.73,137.8,0.8,0.15,0.65,0.12,0.06,0.23,0.11,challengers,2023
SayfVIT,1293,1.13,225.4,1.19,0.7,146.6,0.81,0.22,0.68,0.13,0.13,0.28,0.13,vct,2024
ShotooMVR.GC,1030,1.13,225.4,1.19,0.72,147.8,0.82,0.3,0.69,0.09,0.07,0.33,0.12,gc,2024
zander100T,1424,1.13,225.3,1.16,0.76,142.6,0.79,0.4,0.68,0.11,0.1,0.27,0.17,challengers,2024
snow,274,1.13,223.5,1.17,0.76,151.9,0.8,0.22,0.68,0.16,0.12,0.24,0.32,gc,2024
strahlenRZN,757,1.13,222.8,1.14,0.76,140.2,0.76,0.44,0.67,0.1,0.09,0.25,0.19,gc,2023
aluvilyFLY,534,1.13,222.7,1.11,0.74,155.3,0.78,0.34,0.7,0.08,0.05,0.27,0.18,gc,2023
varuxxLK,222,1.13,222.0,1.13,0.74,152.4,0.79,0.24,0.7,0.09,0.06,0.37,0.11,challengers,2024
kidziaxTeam,369,1.13,222.0,1.2,0.74,155.3,0.78,0.27,0.65,0.1,0.11,0.25,0.19,gc,2024
M1kELNF,1353,1.13,221.9,1.19,0.72,152.3,0.79,0.23,0.66,0.1,0.08,0.27,0.11,challengers,2024
ferretYIPP,1151,1.13,221.4,1.19,0.78,143.6,0.79,0.35,0.66,0.11,0.08,0.29,0.17,gc,2024
jakeeYFP,489,1.13,221.3,1.18,0.8,138.5,0.78,0.4,0.66,0.09,0.07,0.3,0.14,challengers,2023
lazylionDSG,906,1.13,221.3,1.14,0.76,141.4,0.75,0.42,0.66,0.08,0.08,0.27,0.22,gc,2023
nolanSKC,495,1.13,221.0,1.24,0.73,146.3,0.81,0.21,0.66,0.11,0.12,0.29,0.19,challengers,2024
XrossNS,1804,1.13,220.8,1.21,0.76,144.7,0.77,0.28,0.64,0.11,0.08,0.24,0.16,challengers,2024
JesseJL,951,1.13,220.5,1.15,0.74,143.9,0.79,0.34,0.69,0.09,0.07,0.31,0.15,challengers,2023
qu1ckz,987,1.13,220.4,1.17,0.76,150.0,0.79,0.33,0.68,0.07,0.06,0.32,0.13,challengers,2025
BlessedBOBO,358,1.13,220.4,1.12,0.74,134.2,0.76,0.51,0.67,0.11,0.11,0.29,0.21,challengers,2025
emluoPAW,1328,1.13,220.0,1.21,0.73,142.8,0.79,0.27,0.66,0.12,0.09,0.41,0.19,gc,2024
ChloePriceDoeS.C,446,1.13,219.2,1.06,0.73,143.0,0.74,0.43,0.7,0.09,0.08,0.17,0.1,gc,2023
signedJJH,541,1.13,219.1,1.16,0.73,148.3,0.75,0.33,0.65,0.1,0.09,0.23,0.17,challengers,2023
KarinaFKS.S,645,1.13,218.9,1.2,0.73,142.0,0.78,0.25,0.65,0.09,0.08,0.39,0.16,gc,2025
EnzoMDR,1059,1.13,218.8,1.13,0.74,144.3,0.73,0.33,0.65,0.09,0.08,0.18,0.15,challengers,2025
BIBIMIR.GC,645,1.13,218.4,1.17,0.77,145.4,0.76,0.36,0.65,0.1,0.11,0.23,0.22,gc,2024
YoshiiiSZ,562,1.13,218.4,1.2,0.72,144.7,0.79,0.25,0.66,0.1,0.08,0.32,0.19,challengers,2025
SyncroDEWÜ,402,1.13,218.1,1.11,0.74,140.5,0.75,0.31,0.68,0.08,0.09,0.23,0.28,challengers,2025
markyTS,797,1.13,217.5,1.11,0.76,145.3,0.74,0.4,0.67,0.07,0.05,0.22,0.1,challengers,2023
k1mRTL,682,1.13,217.1,1.17,0.72,143.3,0.77,0.25,0.66,0.09,0.06,0.26,0.12,gc,2024
aNguiStMZP,1751,1.13,216.8,1.24,0.72,145.7,0.81,0.17,0.65,0.1,0.08,0.33,0.13,challengers,2024
dundundunki,245,1.13,216.8,1.11,0.73,141.3,0.76,0.37,0.68,0.1,0.09,0.21,0.12,gc,2024
PaedyMorJ,296,1.13,216.1,1.11,0.73,147.1,0.78,0.34,0.7,0.11,0.11,0.26,0.25,gc,2024
YOKOGNG,275,1.13,215.8,1.19,0.7,144.1,0.78,0.19,0.65,0.09,0.08,0.29,0.16,challengers,2024
NunmeisterB8,701,1.13,215.3,1.16,0.73,141.7,0.78,0.3,0.67,0.09,0.07,0.34,0.22,challengers,2025
AceStaRRRRRS8UL,507,1.13,215.1,1.14,0.73,139.4,0.76,0.35,0.66,0.09,0.08,0.27,0.17,challengers,2024
R4MDRX.C,545,1.13,214.7,1.15,0.79,134.2,0.76,0.42,0.66,0.09,0.08,0.24,0.19,gc,2024
PotiV9,279,1.13,214.5,1.15,0.74,136.0,0.76,0.33,0.66,0.07,0.04,0.36,0.11,challengers,2023
domaEP,377,1.13,214.2,1.18,0.76,137.2,0.77,0.2,0.66,0.1,0.09,0.24,0.07,challengers,2023
SylFyNFX,512,1.13,213.9,1.17,0.78,133.6,0.72,0.37,0.62,0.08,0.06,0.23,0.18,challengers,2023
eZoPres,241,1.13,213.8,1.12,0.67,139.5,0.76,0.31,0.68,0.08,0.1,0.32,0.27,challengers,2024
zenna,472,1.13,213.7,1.05,0.76,141.4,0.73,0.35,0.69,0.08,0.07,0.23,0.2,gc,2023
Fracturedskol,314,1.13,213.4,1.17,0.76,134.3,0.73,0.45,0.62,0.11,0.08,0.21,0.2,challengers,2023
BerserXBME,1194,1.13,213.4,1.17,0.77,137.5,0.75,0.37,0.64,0.09,0.08,0.2,0.13,challengers,2023
PapicamROSE,286,1.13,213.1,1.1,0.77,139.5,0.76,0.4,0.69,0.05,0.07,0.26,0.17,challengers,2023
vini14VK,269,1.13,212.8,1.25,0.75,133.3,0.75,0.14,0.6,0.15,0.07,0.25,0.11,challengers,2023
katsumiBurg,741,1.13,212.8,1.23,0.78,137.1,0.77,0.28,0.63,0.11,0.06,0.28,0.11,gc,2023
jukiiii,220,1.13,212.5,1.17,0.75,130.0,0.77,0.38,0.65,0.06,0.04,0.23,0.13,gc,2023
GrayseRAD,202,1.13,212.5,1.03,0.71,137.8,0.76,0.41,0.74,0.09,0.12,0.18,0.07,gc,2024
Loweed,533,1.13,212.2,1.14,0.79,136.2,0.74,0.4,0.65,0.08,0.06,0.29,0.15,challengers,2024
proximaHVND,1046,1.13,212.1,1.13,0.74,141.1,0.76,0.35,0.67,0.1,0.09,0.32,0.18,gc,2023
niffySPE,845,1.13,212.0,1.12,0.77,134.9,0.73,0.45,0.65,0.09,0.07,0.22,0.19,challengers,2023
axeddyWTR,254,1.13,212.0,1.21,0.78,142.5,0.74,0.41,0.61,0.09,0.07,0.36,0.17,challengers,2025
tiffSL9,743,1.13,211.9,1.16,0.77,141.5,0.74,0.35,0.64,0.08,0.08,0.28,0.19,gc,2024
FraggerFLK,830,1.13,211.8,1.13,0.77,138.8,0.76,0.43,0.67,0.08,0.07,0.31,0.1,challengers,2025
JoXJoRID,680,1.13,211.6,1.18,0.76,141.3,0.74,0.37,0.62,0.1,0.08,0.23,0.17,challengers,2025
jovahniiBLIN,367,1.13,211.5,1.13,0.79,138.6,0.73,0.51,0.65,0.07,0.11,0.28,0.23,challengers,2023
yung calculator,434,1.13,211.2,1.16,0.76,136.7,0.75,0.39,0.65,0.06,0.07,0.27,0.1,challengers,2023
rêvera,278,1.13,211.2,1.13,0.7,139.2,0.76,0.32,0.67,0.07,0.09,0.28,0.14,gc,2024
shxdowANT,536,1.13,211.0,1.11,0.79,139.8,0.73,0.37,0.66,0.06,0.05,0.23,0.12,challengers,2025
BizerraTL,636,1.13,210.9,1.16,0.73,143.0,0.74,0.21,0.64,0.09,0.08,0.27,0.1,challengers,2024
zini4F,436,1.13,209.7,1.18,0.76,137.7,0.73,0.36,0.61,0.08,0.04,0.17,0.05,gc,2024
TemperatureDTL,771,1.13,209.5,1.11,0.76,137.3,0.73,0.47,0.66,0.07,0.08,0.27,0.23,challengers,2023
KiddoGMX.L,999,1.13,209.5,1.19,0.76,136.3,0.75,0.33,0.63,0.09,0.07,0.29,0.17,gc,2023
DariusBBCDanis,248,1.13,209.5,1.13,0.8,140.1,0.75,0.35,0.66,0.1,0.06,0.28,0.08,challengers,2024
FakeAnanasS4,564,1.13,209.1,1.09,0.78,136.5,0.76,0.45,0.7,0.08,0.08,0.3,0.2,challengers,2024
basyaDET,924,1.13,208.8,1.16,0.75,142.5,0.75,0.22,0.64,0.08,0.08,0.27,0.25,challengers,2024
sinommi,508,1.13,208.7,1.12,0.75,141.9,0.72,0.37,0.64,0.06,0.07,0.29,0.21,gc,2024
yuzuEOTO,313,1.13,208.6,1.16,0.75,130.8,0.76,0.31,0.65,0.06,0.03,0.23,0.18,gc,2025
tatuo,303,1.13,207.9,1.06,0.8,137.1,0.71,0.49,0.67,0.06,0.04,0.38,0.1,challengers,2023
aboveFUR.AC,277,1.13,207.5,1.15,0.7,134.2,0.77,0.35,0.67,0.06,0.06,0.39,0.15,challengers,2024
MisaF9 W,309,1.13,207.3,1.21,0.73,141.2,0.76,0.22,0.63,0.09,0.07,0.28,0.19,gc,2024
bjorMAD,668,1.13,207.1,1.16,0.72,136.7,0.75,0.34,0.64,0.09,0.07,0.22,0.14,challengers,2023
KaronGEN,776,1.13,206.8,1.16,0.76,134.9,0.73,0.41,0.63,0.06,0.07,0.32,0.16,vct,2025
jzzLOS,311,1.13,206.6,1.27,0.76,136.5,0.78,0.25,0.61,0.08,0.05,0.31,0.09,challengers,2024
mizzyDREA,597,1.13,206.5,1.14,0.77,131.1,0.74,0.4,0.65,0.08,0.07,0.34,0.12,gc,2025
xeniaHOWL.M,672,1.13,205.5,1.18,0.76,136.3,0.74,0.36,0.63,0.05,0.06,0.34,0.18,gc,2025
majaLycu,236,1.13,205.4,1.19,0.79,133.4,0.74,0.38,0.62,0.1,0.07,0.32,0.08,gc,2024
THEELOVEFAMILYFS,882,1.13,204.9,1.21,0.76,134.8,0.76,0.23,0.62,0.08,0.06,0.28,0.19,challengers,2023
AFoxxRAAD,1086,1.13,204.7,1.25,0.75,137.8,0.75,0.18,0.6,0.1,0.06,0.31,0.15,challengers,2023
SungJinSRP,364,1.13,204.5,1.24,0.73,139.4,0.75,0.2,0.61,0.09,0.06,0.3,0.26,challengers,2024
jduhQAD.GC,1452,1.13,204.4,1.1,0.75,133.2,0.71,0.4,0.65,0.07,0.06,0.28,0.18,gc,2023
DVDOVFRG,1136,1.13,203.2,1.2,0.76,137.3,0.71,0.22,0.59,0.07,0.05,0.23,0.14,challengers,2023
BlahstRR,788,1.13,203.2,1.2,0.72,135.2,0.75,0.24,0.62,0.09,0.09,0.26,0.25,challengers,2025
bnjFVN,955,1.13,203.0,1.14,0.76,128.1,0.72,0.42,0.63,0.07,0.05,0.27,0.2,challengers,2025
Mot1onZTA,1209,1.13,201.3,1.06,0.73,137.4,0.71,0.35,0.67,0.05,0.04,0.29,0.14,challengers,2024
AloNeFillzNKT,805,1.13,201.2,1.16,0.75,137.1,0.7,0.3,0.61,0.07,0.05,0.25,0.14,challengers,2024
ChampzeraTBK,497,1.13,200.9,1.18,0.77,132.8,0.74,0.38,0.63,0.07,0.04,0.3,0.19,challengers,2024
romiLEV.GC,1255,1.13,200.5,1.34,0.76,134.6,0.75,0.21,0.56,0.07,0.05,0.31,0.15,gc,2024
biazikKRÜ.B,406,1.13,199.4,1.28,0.81,134.3,0.72,0.38,0.56,0.08,0.07,0.29,0.21,gc,2025
liazziSCCP,520,1.13,198.5,1.18,0.74,131.3,0.71,0.27,0.6,0.08,0.07,0.29,0.1,challengers,2025
svLBTR,477,1.13,197.6,1.13,0.77,127.7,0.67,0.44,0.59,0.07,0.05,0.23,0.17,challengers,2024
JoojinaTL,1751,1.13,197.1,1.2,0.78,129.0,0.72,0.42,0.6,0.07,0.06,0.28,0.22,gc,2023
Mot1onZTA,403,1.13,196.9,1.11,0.78,129.3,0.69,0.39,0.62,0.04,0.03,0.34,0.16,challengers,2025
blxssom,513,1.13,195.8,1.16,0.74,127.4,0.69,0.34,0.6,0.06,0.06,0.15,0.24,gc,2024
capeeshaDOM,207,1.13,195.6,1.19,0.8,133.4,0.69,0.37,0.58,0.08,0.05,0.24,0.22,challengers,2024
Cunha20FLK,1138,1.13,194.7,1.18,0.78,129.1,0.73,0.43,0.62,0.06,0.06,0.41,0.18,challengers,2024
eeiu100T,1176,1.13,193.4,1.14,0.77,130.6,0.7,0.31,0.61,0.05,0.04,0.31,0.13,vct,2024
erdeLEV.AC,758,1.13,192.8,1.21,0.77,130.2,0.7,0.41,0.58,0.06,0.07,0.29,0.18,challengers,2025
zerurun,413,1.13,191.9,1.11,0.78,124.0,0.68,0.49,0.62,0.06,0.07,0.24,0.15,challengers,2023
rushiaBLG,821,1.13,189.3,1.01,0.78,129.1,0.68,0.44,0.67,0.11,0.09,0.24,0.0,vct,2025
alexisSRG,1167,1.13,177.9,1.14,0.84,113.2,0.62,0.61,0.55,0.05,0.05,0.3,0.14,gc,2023
Pl4yer1,217,1.12,275.1,1.24,0.74,172.3,0.98,0.17,0.79,0.23,0.22,0.19,0.12,gc,2025
kayPHX,290,1.12,261.1,1.25,0.68,161.7,0.88,0.16,0.71,0.25,0.23,0.27,0.14,gc,2023
endoistXGOD,616,1.12,258.3,1.15,0.72,162.8,0.89,0.2,0.78,0.17,0.14,0.25,0.2,challengers,2024
LuidMIBR.AC,865,1.12,256.7,1.19,0.72,163.8,0.89,0.16,0.75,0.24,0.18,0.26,0.24,challengers,2024
ennui,525,1.12,256.6,1.17,0.73,162.8,0.88,0.22,0.76,0.22,0.18,0.19,0.19,gc,2024
taraaaaaaaaaaaaaMDK,383,1.12,256.4,1.17,0.72,165.7,0.89,0.21,0.76,0.2,0.19,0.19,0.18,gc,2023
zevPros,1429,1.12,254.9,1.15,0.7,170.7,0.89,0.21,0.77,0.19,0.16,0.31,0.17,gc,2024
LymHV96,638,1.12,254.8,1.16,0.72,170.1,0.9,0.16,0.77,0.2,0.16,0.28,0.19,challengers,2024
SayoNOOB.GC,870,1.12,254.6,1.19,0.7,165.7,0.91,0.18,0.77,0.18,0.17,0.32,0.18,gc,2024
zekkenSEN,1720,1.12,254.4,1.18,0.72,163.7,0.88,0.22,0.74,0.22,0.17,0.24,0.16,vct,2024
NaNoWLRV,355,1.12,253.6,1.19,0.7,163.2,0.83,0.24,0.7,0.17,0.16,0.23,0.18,challengers,2023
stunnaFUN,213,1.12,253.5,1.16,0.74,163.7,0.91,0.26,0.78,0.19,0.09,0.34,0.14,challengers,2025
DemonaL Blue,269,1.12,252.6,1.23,0.74,156.4,0.86,0.3,0.7,0.12,0.12,0.17,0.09,challengers,2023
Nocturnal,414,1.12,252.6,1.15,0.74,167.3,0.88,0.2,0.77,0.2,0.13,0.26,0.27,gc,2023
