player,rounds_played,vlr_rating,acs,kd,kast,adr,kpr,apr,dpr,fkpr,fdpr,hs_percent,cl_percent,year
bangSEN,527,1.02,192.6,0.99,0.75,123.5,0.67,0.39,0.68,0.09,0.09,0.34,0.2,2025
cauanzinLOUD,1081,1.02,210.1,1.03,0.73,134.6,0.74,0.3,0.72,0.12,0.09,0.28,0.09,2024
ScreaMKC,671,1.02,225.2,1.01,0.7,151.4,0.78,0.23,0.77,0.2,0.16,0.3,0.08,2023
MeteorT1,891,1.02,227.5,1.05,0.7,148.9,0.79,0.19,0.75,0.19,0.16,0.24,0.14,2023
gagaaaaDYG,216,1.02,197.9,1.01,0.69,134.6,0.68,0.3,0.67,0.06,0.07,0.22,0.21,2023
MazinoKRÜ,1778,1.02,205.6,1.02,0.74,134.6,0.73,0.4,0.71,0.08,0.09,0.28,0.16,2024
staxT1,773,1.02,181.9,0.98,0.74,115.9,0.63,0.47,0.64,0.06,0.08,0.28,0.12,2024
CloudGX,662,1.02,199.2,0.98,0.71,134.7,0.7,0.31,0.71,0.07,0.07,0.24,0.12,2024
kamykM8,648,1.02,197.0,1.04,0.74,129.4,0.69,0.27,0.67,0.08,0.07,0.26,0.13,2025
jawgemoG2,624,1.02,219.1,1.05,0.72,140.9,0.77,0.28,0.73,0.16,0.16,0.21,0.28,2025
DepZETA,795,1.02,232.1,1.06,0.69,150.5,0.81,0.18,0.76,0.19,0.17,0.27,0.13,2024
Asuna100T,1176,1.01,213.1,1.01,0.75,136.4,0.72,0.36,0.72,0.13,0.14,0.19,0.16,2024
zekkenSEN,527,1.01,215.9,1.07,0.71,141.9,0.76,0.21,0.71,0.18,0.2,0.24,0.15,2025
AkameDFM,224,1.01,203.1,0.96,0.75,131.5,0.69,0.3,0.72,0.11,0.09,0.32,0.12,2025
runiC9,802,1.01,181.2,0.95,0.74,122.4,0.64,0.35,0.67,0.06,0.05,0.26,0.17,2023
AboTYL,441,1.01,214.2,1.02,0.72,142.8,0.74,0.23,0.73,0.2,0.12,0.36,0.17,2023
KhalilFUR,810,1.01,178.6,1.0,0.75,120.6,0.64,0.28,0.64,0.05,0.05,0.26,0.11,2023
f0rsakeNPRX,1352,1.01,216.3,1.03,0.72,142.2,0.75,0.29,0.73,0.14,0.12,0.26,0.12,2023
SmoggyEDG,730,1.01,202.3,1.07,0.74,124.6,0.72,0.44,0.67,0.1,0.06,0.3,0.2,2025
JonahPG2,624,1.01,184.1,0.97,0.78,118.0,0.65,0.47,0.67,0.07,0.07,0.25,0.12,2025
ZmjjKKEDG,730,1.01,257.0,1.17,0.7,151.0,0.9,0.21,0.77,0.21,0.22,0.23,0.04,2025
N4RRATESEN,527,1.01,195.3,0.95,0.75,129.2,0.67,0.39,0.71,0.08,0.07,0.24,0.24,2025
BORKUMTS,607,1.01,188.5,0.98,0.72,121.6,0.66,0.38,0.67,0.09,0.06,0.22,0.17,2024
MiniBooTH,1875,1.01,221.1,1.03,0.71,144.2,0.76,0.22,0.75,0.17,0.17,0.3,0.17,2024
qRaxsFUT,1325,1.01,188.5,0.98,0.72,122.8,0.68,0.35,0.69,0.06,0.06,0.28,0.18,2024
XeppaaC9,891,1.01,206.6,0.99,0.73,133.7,0.72,0.36,0.73,0.08,0.09,0.24,0.16,2023
BazziGE,562,1.01,192.0,0.92,0.77,123.5,0.64,0.47,0.69,0.06,0.04,0.17,0.13,2023
PatiphanTLN,527,1.01,210.4,1.02,0.67,139.7,0.74,0.32,0.73,0.09,0.11,0.26,0.12,2023
SylvanT1,557,1.01,190.8,0.94,0.73,123.3,0.66,0.42,0.71,0.09,0.07,0.26,0.15,2023
ZellsisSEN,1720,1.01,185.6,0.99,0.74,120.5,0.64,0.38,0.64,0.06,0.08,0.2,0.15,2024
SmoggyEDG,1002,1.0,198.0,1.07,0.73,130.9,0.73,0.24,0.68,0.09,0.08,0.31,0.14,2023
MonyetRRQ,331,1.0,185.7,1.05,0.74,119.9,0.67,0.32,0.64,0.07,0.1,0.29,0.22,2025
PapiGEXP,208,1.0,169.8,1.02,0.75,108.9,0.63,0.34,0.62,0.07,0.04,0.38,0.22,2025
SylvanT1,658,1.0,184.9,0.95,0.77,117.3,0.62,0.6,0.66,0.07,0.07,0.26,0.17,2025
somethingPRX,205,1.0,201.5,1.02,0.7,126.6,0.71,0.23,0.7,0.13,0.14,0.25,0.16,2025
SUYGETSUKC,760,1.0,184.9,1.01,0.72,125.7,0.66,0.21,0.65,0.07,0.06,0.33,0.12,2024
JessieVashTS,897,1.0,188.9,1.01,0.71,126.9,0.66,0.3,0.65,0.07,0.07,0.26,0.16,2024
SugarZ3roZETA,795,1.0,186.8,0.97,0.73,121.6,0.67,0.38,0.69,0.04,0.07,0.33,0.09,2024
BORKUMTS,908,1.0,181.2,0.92,0.74,117.9,0.62,0.47,0.68,0.06,0.08,0.2,0.18,2023
monkAG,267,1.0,198.1,0.95,0.68,153.8,0.66,0.28,0.7,0.09,0.05,0.2,0.21,2023
MOLSIAPK,667,1.0,190.2,0.95,0.72,127.3,0.67,0.37,0.71,0.08,0.07,0.24,0.08,2023
yomanGEN,304,1.0,172.1,1.0,0.74,108.5,0.61,0.31,0.61,0.06,0.06,0.3,0.06,2025
supamenEG,632,1.0,197.4,0.97,0.71,128.2,0.7,0.29,0.72,0.1,0.12,0.39,0.15,2024
staxT1,1000,1.0,170.6,0.97,0.73,117.6,0.61,0.37,0.63,0.05,0.05,0.28,0.14,2025
jawgemoG2,1659,0.99,213.0,1.0,0.73,138.1,0.73,0.32,0.73,0.12,0.13,0.19,0.16,2023
EmmanZOL,205,0.99,192.5,0.92,0.76,129.7,0.68,0.32,0.74,0.09,0.08,0.33,0.17,2023
RbTEC,1521,0.99,186.9,1.0,0.72,122.5,0.66,0.27,0.66,0.09,0.08,0.25,0.21,2023
garnetSNKT,620,0.99,224.8,1.02,0.7,146.5,0.77,0.15,0.75,0.19,0.15,0.24,0.11,2023
AtaKaptanFUT,1053,0.99,189.4,0.96,0.73,121.5,0.66,0.42,0.69,0.07,0.09,0.28,0.2,2023
qRaxsFUT,1091,0.99,196.1,0.95,0.75,128.5,0.69,0.42,0.72,0.07,0.07,0.29,0.12,2023
jakeeYFP,802,0.99,190.8,0.95,0.74,125.0,0.68,0.37,0.71,0.09,0.09,0.3,0.24,2023
KhalilFUR,555,0.99,182.6,0.95,0.71,124.7,0.66,0.26,0.7,0.05,0.07,0.3,0.17,2024
ZyppanM8,760,0.99,215.3,1.0,0.71,144.6,0.75,0.3,0.75,0.12,0.13,0.29,0.08,2024
mindfreakPRX,1798,0.99,180.6,1.0,0.73,118.7,0.66,0.32,0.65,0.05,0.06,0.34,0.13,2024
JonahPG2,1816,0.99,191.5,0.96,0.72,123.2,0.66,0.38,0.69,0.07,0.09,0.26,0.16,2024
LmemoreRRQ,708,0.99,205.1,0.98,0.67,137.5,0.72,0.21,0.73,0.1,0.13,0.34,0.16,2024
frzLOS,474,0.99,189.4,0.97,0.66,126.2,0.68,0.19,0.69,0.08,0.12,0.28,0.2,2024
logaNDVM,290,0.99,181.7,0.98,0.68,119.4,0.63,0.19,0.65,0.06,0.09,0.32,0.04,2024
QutionerXEF,575,0.99,230.0,1.0,0.71,153.0,0.79,0.19,0.79,0.2,0.14,0.26,0.09,2024
S1MonEDG,777,0.99,168.4,0.94,0.76,111.8,0.6,0.46,0.64,0.05,0.04,0.29,0.2,2024
t3xtureGEN,357,0.99,220.8,1.09,0.64,141.2,0.8,0.15,0.74,0.17,0.22,0.25,0.17,2025
MeteorT1,1000,0.99,217.4,1.04,0.69,144.9,0.77,0.2,0.74,0.14,0.12,0.31,0.11,2025
BeYNDRX,511,0.99,167.0,0.93,0.75,109.4,0.58,0.4,0.62,0.05,0.05,0.25,0.15,2025
kamoTL,648,0.98,218.6,1.04,0.69,143.8,0.77,0.15,0.74,0.17,0.16,0.27,0.15,2025
ZellsisSEN,527,0.98,195.9,0.94,0.7,126.5,0.66,0.34,0.71,0.07,0.1,0.23,0.09,2025
KicksVIT,474,0.98,185.4,0.97,0.76,116.4,0.65,0.42,0.68,0.07,0.08,0.28,0.2,2025
Foxy9GEN,551,0.98,227.1,1.06,0.69,143.4,0.78,0.17,0.73,0.22,0.21,0.25,0.13,2023
nosWBG,342,0.98,171.1,0.88,0.74,103.4,0.6,0.39,0.68,0.08,0.06,0.3,0.38,2023
blaZek1ngGE,631,0.98,189.8,0.95,0.69,128.3,0.66,0.23,0.7,0.09,0.07,0.31,0.12,2024
iZuT1,1065,0.98,206.9,0.98,0.72,136.2,0.73,0.3,0.74,0.12,0.12,0.26,0.18,2024
BabyblueJDG,296,0.98,232.0,0.99,0.72,151.8,0.78,0.32,0.79,0.17,0.17,0.25,0.19,2023
bangSEN,752,0.98,189.8,0.95,0.73,125.1,0.68,0.37,0.71,0.08,0.1,0.32,0.2,2023
MrFaliNFUT,1091,0.98,189.2,0.94,0.71,122.8,0.66,0.38,0.71,0.07,0.1,0.23,0.17,2023
SacySEN,681,0.98,191.6,0.94,0.71,126.9,0.67,0.35,0.71,0.08,0.08,0.3,0.1,2023
SacySEN,1720,0.98,181.7,0.92,0.73,122.5,0.61,0.4,0.67,0.06,0.08,0.26,0.15,2024
Foxy9GEN,304,0.97,194.5,1.03,0.66,125.3,0.69,0.16,0.67,0.08,0.08,0.34,0.21,2025
v1cC9,211,0.97,165.8,0.89,0.72,108.8,0.59,0.45,0.66,0.07,0.07,0.24,0.23,2025
BooTH,2367,0.97,173.4,0.95,0.73,111.2,0.62,0.41,0.65,0.08,0.08,0.31,0.14,2024
carpeT1,342,0.97,175.5,0.86,0.74,114.5,0.61,0.51,0.7,0.07,0.06,0.33,0.15,2025
BeYNDRX,1200,0.97,176.3,0.93,0.74,117.7,0.62,0.31,0.67,0.06,0.08,0.27,0.23,2024
KicksVIT,1293,0.97,179.5,0.92,0.72,116.2,0.64,0.4,0.69,0.05,0.07,0.22,0.19,2024
Demon1LEV,417,0.97,208.2,0.97,0.71,141.9,0.72,0.18,0.74,0.18,0.17,0.35,0.1,2024
AtaKaptanFUT,1325,0.97,191.0,0.94,0.72,121.9,0.66,0.38,0.71,0.08,0.12,0.27,0.12,2024
VictorNRG,632,0.97,213.1,1.05,0.69,139.7,0.75,0.18,0.72,0.14,0.15,0.26,0.1,2024
artzinMIBR,699,0.97,211.5,0.96,0.67,139.2,0.73,0.2,0.77,0.13,0.14,0.26,0.17,2024
runiC9,660,0.97,176.9,0.95,0.72,122.8,0.63,0.28,0.66,0.06,0.06,0.34,0.14,2024
XeppaaC9,822,0.97,189.0,0.89,0.76,124.8,0.63,0.44,0.71,0.07,0.09,0.26,0.21,2024
jawgemoG2,632,0.97,225.9,0.96,0.66,150.2,0.76,0.21,0.79,0.17,0.15,0.22,0.12,2024
neTC9,300,0.97,198.5,1.0,0.68,131.1,0.7,0.18,0.69,0.07,0.06,0.39,0.08,2024
mindfreakPRX,1352,0.97,169.3,0.96,0.73,109.3,0.61,0.38,0.64,0.05,0.07,0.27,0.17,2023
XXXTACONOP,211,0.97,194.3,0.93,0.73,124.6,0.71,0.38,0.76,0.11,0.11,0.27,0.05,2023
Boostio100T,1659,0.97,204.3,0.99,0.7,136.9,0.71,0.22,0.71,0.11,0.12,0.23,0.14,2023
RgLMeisterRED,554,0.97,180.6,0.9,0.73,120.0,0.63,0.39,0.71,0.05,0.05,0.22,0.15,2023
ZenoDRG,325,0.97,182.9,0.87,0.77,115.2,0.62,0.43,0.71,0.08,0.06,0.2,0.07,2023
BoasterFNC,1357,0.97,170.2,0.94,0.76,105.1,0.59,0.44,0.63,0.08,0.09,0.19,0.33,2023
TenZSEN,507,0.97,204.3,0.97,0.68,134.0,0.7,0.3,0.73,0.15,0.17,0.21,0.17,2023
tuyzLOUD,1618,0.97,166.6,0.94,0.75,108.9,0.6,0.43,0.64,0.05,0.06,0.28,0.17,2023
fl1pzjderRRQ,645,0.97,187.5,0.88,0.73,120.1,0.63,0.48,0.71,0.08,0.1,0.26,0.17,2023
EJAYSZ,621,0.97,209.3,1.01,0.7,137.8,0.75,0.17,0.74,0.15,0.17,0.2,0.12,2023
LmemoreRRQ,645,0.97,206.6,0.99,0.68,138.8,0.73,0.18,0.73,0.12,0.12,0.33,0.09,2023
DubstePOAS,908,0.97,196.0,1.0,0.68,132.4,0.7,0.15,0.7,0.13,0.15,0.26,0.17,2023
crashiesFNC,632,0.96,175.3,0.99,0.73,114.9,0.63,0.3,0.64,0.05,0.06,0.28,0.16,2024
C0MLEV,1778,0.96,174.7,0.9,0.73,119.7,0.59,0.32,0.66,0.08,0.08,0.22,0.14,2024
tomaszyGX,1205,0.96,184.8,0.95,0.72,126.2,0.65,0.29,0.68,0.08,0.08,0.33,0.14,2024
kamoTL,740,0.96,224.9,0.97,0.68,147.8,0.76,0.19,0.78,0.21,0.19,0.26,0.2,2024
FlashbackDRX,511,0.96,183.7,0.97,0.73,123.0,0.65,0.21,0.67,0.1,0.1,0.24,0.13,2025
xfferoRRQ,331,0.96,177.9,1.04,0.76,119.0,0.66,0.26,0.64,0.08,0.08,0.26,0.1,2025
cauanzinLOUD,258,0.96,211.2,0.96,0.65,140.1,0.71,0.23,0.73,0.12,0.14,0.27,0.23,2025
JremyTS,908,0.96,208.9,0.94,0.7,136.5,0.7,0.24,0.75,0.14,0.14,0.18,0.14,2023
TurkoS2G,578,0.96,165.4,0.91,0.74,110.9,0.6,0.37,0.66,0.05,0.06,0.31,0.13,2023
pANcadaLOUD,681,0.96,176.3,0.95,0.7,121.9,0.61,0.19,0.64,0.04,0.06,0.25,0.12,2023
nobodyEDG,1002,0.96,198.4,1.0,0.73,130.8,0.71,0.33,0.71,0.08,0.11,0.28,0.19,2023
SuggestGEN,368,0.96,203.5,0.93,0.71,135.8,0.71,0.25,0.76,0.12,0.12,0.29,0.05,2023
JitBoySTLN,596,0.96,186.0,0.95,0.71,123.4,0.67,0.29,0.7,0.06,0.1,0.3,0.12,2023
frzLOS,554,0.96,197.1,0.92,0.71,136.7,0.67,0.23,0.73,0.1,0.08,0.31,0.09,2023
MAGNUMBBL,1205,0.96,179.3,0.9,0.72,119.9,0.62,0.33,0.68,0.09,0.11,0.26,0.2,2024
ZestBLD,1006,0.96,178.6,0.94,0.71,116.5,0.64,0.31,0.68,0.06,0.09,0.32,0.18,2023
mooseLand,660,0.96,172.1,0.99,0.69,118.1,0.62,0.16,0.63,0.08,0.06,0.24,0.15,2024
jzzLOS,474,0.96,207.1,0.96,0.71,140.7,0.73,0.21,0.76,0.15,0.12,0.31,0.13,2024
XiaonuoRNG,284,0.96,175.2,0.93,0.72,117.7,0.63,0.24,0.68,0.05,0.07,0.28,0.14,2023
EstrellaRRQ,668,0.95,165.6,0.89,0.74,108.7,0.58,0.42,0.65,0.05,0.07,0.29,0.06,2024
RgLMeisterRED,474,0.95,173.5,0.9,0.72,119.3,0.63,0.35,0.7,0.05,0.05,0.29,0.17,2024
xccurateT1,1065,0.95,186.1,0.97,0.72,122.4,0.68,0.24,0.7,0.07,0.09,0.26,0.11,2024
JinboongDFM,224,0.95,176.5,0.94,0.69,117.2,0.63,0.2,0.67,0.06,0.12,0.34,0.11,2025
BoasterFNC,215,0.95,169.9,0.91,0.73,110.8,0.59,0.47,0.65,0.09,0.09,0.23,0.26,2025
VernoMIBR,224,0.95,170.3,0.96,0.76,118.1,0.62,0.26,0.65,0.05,0.07,0.33,0.11,2025
EthanNRG,242,0.95,188.3,0.9,0.71,121.0,0.63,0.42,0.7,0.05,0.08,0.25,0.21,2025
BiankTE,585,0.95,193.2,1.02,0.71,128.5,0.71,0.33,0.7,0.07,0.09,0.22,0.16,2023
ZccJJH,284,0.95,165.5,0.9,0.69,104.9,0.61,0.36,0.68,0.09,0.14,0.2,0.16,2023
starxoJL,712,0.95,182.4,0.9,0.71,120.8,0.65,0.4,0.72,0.07,0.1,0.21,0.12,2023
BraveEF,578,0.95,194.0,0.92,0.72,124.7,0.66,0.36,0.71,0.08,0.09,0.33,0.23,2023
MelserKRÜ,1178,0.95,176.0,0.93,0.71,116.8,0.62,0.31,0.67,0.08,0.1,0.32,0.16,2024
FengFTE,1428,0.95,230.3,1.12,0.67,145.1,0.79,0.2,0.71,0.14,0.13,0.29,0.15,2024
MarvedNRG,461,0.95,183.6,0.91,0.71,124.6,0.66,0.33,0.72,0.1,0.12,0.29,0.18,2023
YuicawWOL,484,0.95,200.7,0.92,0.66,130.2,0.7,0.18,0.76,0.13,0.18,0.26,0.08,2023
MOJJGAL,1091,0.95,188.4,0.94,0.68,128.2,0.66,0.21,0.7,0.08,0.08,0.28,0.16,2023
MazinoKRÜ,987,0.95,196.7,0.97,0.71,124.7,0.69,0.38,0.71,0.1,0.1,0.24,0.13,2023
MelserKRÜ,914,0.95,183.9,0.93,0.73,119.9,0.65,0.33,0.7,0.08,0.09,0.3,0.12,2023
DerrekEG,752,0.95,179.1,0.86,0.72,125.9,0.61,0.35,0.71,0.06,0.06,0.3,0.09,2023
sh1nDVM,671,0.95,183.0,0.91,0.7,117.3,0.64,0.31,0.7,0.08,0.07,0.3,0.19,2023
heatFUR,415,0.95,209.4,0.97,0.65,138.6,0.72,0.13,0.74,0.15,0.19,0.26,0.05,2023
AvovAAPK,551,0.95,177.2,0.87,0.7,114.3,0.63,0.36,0.73,0.06,0.09,0.25,0.12,2023
TSGEN,891,0.95,183.2,0.9,0.71,117.5,0.64,0.42,0.71,0.07,0.1,0.22,0.09,2023
zeekEP,319,0.94,199.2,0.88,0.65,132.9,0.68,0.26,0.77,0.1,0.11,0.26,0.27,2023
margaretNS,381,0.94,172.9,0.92,0.7,116.7,0.62,0.22,0.68,0.13,0.1,0.29,0.13,2025
JamppiBBL,244,0.94,189.0,0.88,0.74,127.9,0.64,0.34,0.73,0.05,0.08,0.29,0.23,2025
banTLN,944,0.94,193.6,0.95,0.67,128.7,0.69,0.23,0.72,0.12,0.11,0.33,0.09,2024
Foxy9GEN,1333,0.94,178.6,0.95,0.72,117.8,0.64,0.31,0.67,0.08,0.09,0.31,0.16,2024
starxoJL,740,0.94,180.3,0.91,0.71,117.5,0.62,0.42,0.69,0.07,0.11,0.23,0.18,2024
BraveEF,575,0.94,193.7,0.93,0.69,127.6,0.67,0.32,0.72,0.1,0.09,0.34,0.21,2024
NDGTS.AC,607,0.94,183.5,0.96,0.73,123.9,0.65,0.22,0.68,0.08,0.07,0.23,0.12,2024
mwzeraFUR,555,0.94,216.5,0.93,0.69,142.2,0.75,0.21,0.81,0.15,0.16,0.2,0.05,2024
nobodyEDG,730,0.94,193.9,1.05,0.71,123.9,0.69,0.23,0.66,0.09,0.09,0.3,0.04,2025
d4v41PRX,205,0.94,185.0,0.94,0.78,127.8,0.66,0.32,0.7,0.06,0.07,0.31,0.11,2025
runneRGX,1293,0.94,202.6,0.94,0.7,134.4,0.69,0.25,0.73,0.13,0.13,0.2,0.15,2024
jzzLOS,554,0.94,191.0,0.9,0.71,121.5,0.67,0.31,0.75,0.11,0.12,0.28,0.09,2023
AsLanM4shadoWS2G,578,0.94,199.1,0.95,0.68,134.2,0.71,0.19,0.74,0.07,0.11,0.26,0.19,2023
sh1nDVM,1205,0.93,166.0,0.91,0.75,106.3,0.6,0.38,0.66,0.06,0.07,0.29,0.11,2024
GovernorAPK,944,0.93,201.7,0.95,0.69,132.0,0.71,0.21,0.74,0.17,0.17,0.23,0.17,2024
PolviFMG,631,0.93,213.8,0.93,0.67,143.3,0.72,0.19,0.78,0.2,0.19,0.23,0.13,2024
Flex1nDRG,1039,0.93,193.8,1.02,0.73,119.5,0.67,0.43,0.66,0.07,0.08,0.36,0.15,2024
NaturEEG,632,0.93,176.7,0.85,0.71,116.2,0.61,0.37,0.72,0.06,0.06,0.31,0.13,2024
MarvedNRG,417,0.93,190.8,0.91,0.7,124.4,0.66,0.3,0.72,0.07,0.1,0.27,0.22,2024
adversoKRÜ,300,0.93,184.4,0.91,0.71,124.0,0.63,0.3,0.69,0.08,0.1,0.19,0.27,2025
paTiTekTL,648,0.93,167.1,0.89,0.74,111.8,0.58,0.38,0.65,0.08,0.07,0.25,0.11,2025
LewNBBL,244,0.93,205.3,0.98,0.66,132.8,0.73,0.19,0.75,0.16,0.23,0.36,0.13,2025
SayfVIT,474,0.93,187.7,0.98,0.7,120.2,0.66,0.24,0.68,0.08,0.09,0.24,0.14,2025
XuAN4AM,358,0.93,196.3,0.95,0.7,121.6,0.66,0.2,0.7,0.09,0.09,0.2,0.21,2023
AceKBG,358,0.93,174.4,0.91,0.74,114.4,0.64,0.35,0.7,0.08,0.08,0.34,0.17,2023
AnthemSZ,486,0.93,189.7,0.88,0.73,128.7,0.64,0.32,0.73,0.06,0.09,0.27,0.16,2023
nzrMIBR,373,0.93,172.3,0.86,0.69,118.8,0.58,0.33,0.67,0.04,0.03,0.27,0.08,2025
XJianKBG,296,0.93,172.2,0.88,0.76,111.3,0.6,0.4,0.68,0.06,0.08,0.24,0.16,2023
JessieVashTS,908,0.93,179.4,0.88,0.69,120.6,0.61,0.32,0.69,0.07,0.08,0.24,0.16,2023
texLEV,1778,0.93,193.9,0.99,0.71,129.1,0.69,0.2,0.69,0.1,0.12,0.32,0.13,2024
yuranSG,795,0.93,182.2,0.85,0.7,122.8,0.61,0.39,0.71,0.07,0.09,0.26,0.1,2024
CrwsTLN,700,0.92,185.6,0.86,0.7,122.9,0.62,0.39,0.72,0.08,0.09,0.24,0.18,2023
soulcasMKOI,1088,0.92,164.8,0.89,0.73,107.3,0.59,0.36,0.66,0.05,0.06,0.34,0.08,2023
cxyyAG,282,0.92,173.9,0.84,0.65,116.1,0.61,0.37,0.73,0.09,0.1,0.28,0.12,2023
SushiboysFS,357,0.92,187.5,0.92,0.68,126.3,0.66,0.19,0.72,0.08,0.1,0.22,0.15,2023
BenkaiGE,631,0.92,166.0,0.86,0.68,116.6,0.58,0.21,0.67,0.04,0.07,0.25,0.1,2024
nobodyEDG,1824,0.92,193.8,0.99,0.7,124.6,0.68,0.28,0.69,0.08,0.11,0.33,0.2,2024
ZestBLD,530,0.92,172.2,0.88,0.69,112.0,0.6,0.29,0.69,0.07,0.08,0.29,0.12,2024
FFsZYG,425,0.92,192.5,0.94,0.76,117.2,0.66,0.38,0.71,0.07,0.11,0.19,0.2,2023
DestrianKPI,667,0.92,173.8,0.85,0.71,112.8,0.59,0.42,0.69,0.06,0.1,0.24,0.09,2023
GodDeadIAM,843,0.92,175.1,0.81,0.73,113.1,0.58,0.52,0.71,0.06,0.09,0.2,0.15,2023
KaiTE,420,0.92,222.2,1.08,0.62,128.6,0.81,0.21,0.75,0.14,0.12,0.31,0.08,2025
HaodongTEC,1002,0.92,175.5,0.93,0.76,112.5,0.62,0.4,0.66,0.07,0.09,0.28,0.16,2023
staxT1,1521,0.92,177.1,0.87,0.71,114.1,0.61,0.43,0.7,0.05,0.08,0.28,0.13,2023
SurfTLN.AC,528,0.91,170.8,0.91,0.68,114.9,0.6,0.19,0.66,0.07,0.07,0.37,0.04,2024
RussVLT,631,0.91,181.4,0.87,0.71,116.8,0.64,0.38,0.73,0.09,0.09,0.37,0.19,2024
icyEG,1516,0.91,190.5,0.91,0.69,128.1,0.67,0.21,0.74,0.14,0.14,0.25,0.14,2024
Fit1nhoBAR,662,0.91,184.0,0.88,0.68,124.5,0.63,0.25,0.72,0.1,0.09,0.3,0.09,2024
EnzoMDR,683,0.91,170.9,0.86,0.68,115.6,0.56,0.31,0.65,0.05,0.07,0.19,0.07,2024
TakaSMDR,564,0.91,205.4,0.93,0.65,135.3,0.71,0.23,0.76,0.16,0.18,0.22,0.14,2024
JamppiBBL,683,0.91,190.0,0.9,0.71,123.8,0.66,0.27,0.73,0.1,0.11,0.32,0.13,2024
LightningfastVLT,631,0.91,179.9,0.86,0.69,116.7,0.63,0.32,0.73,0.08,0.07,0.33,0.15,2024
MonyetRRQ,885,0.91,198.4,0.88,0.7,132.1,0.68,0.32,0.78,0.12,0.16,0.26,0.19,2024
MazinoKRÜ,300,0.91,182.7,0.89,0.73,119.0,0.64,0.45,0.72,0.09,0.12,0.26,0.08,2025
OXYC9,211,0.91,227.0,0.93,0.67,149.5,0.79,0.18,0.84,0.16,0.19,0.24,0.25,2025
TENNNMRSH,884,0.91,201.8,0.93,0.71,133.9,0.69,0.18,0.74,0.13,0.15,0.23,0.18,2023
xmsDVM,671,0.91,165.8,0.87,0.69,117.2,0.59,0.24,0.68,0.06,0.06,0.3,0.1,2023
saadhakKC,1618,0.91,189.3,0.86,0.72,124.7,0.6,0.4,0.7,0.11,0.14,0.19,0.14,2023
mazinLOS,810,0.91,170.1,0.9,0.7,109.4,0.61,0.35,0.67,0.07,0.1,0.28,0.17,2023
stellarYFP,752,0.91,179.3,0.9,0.69,120.2,0.62,0.23,0.69,0.07,0.09,0.2,0.07,2023
barricadeDYG,282,0.91,181.7,0.92,0.65,117.8,0.67,0.14,0.73,0.07,0.1,0.27,0.13,2023
QuickLOS,743,0.91,180.9,0.91,0.67,122.8,0.63,0.23,0.69,0.07,0.09,0.27,0.15,2023
NagZ9ZG,865,0.91,167.9,0.87,0.69,115.2,0.57,0.25,0.65,0.08,0.06,0.21,0.14,2023
WolfenCGN,712,0.9,208.7,0.94,0.67,135.2,0.73,0.17,0.78,0.17,0.19,0.26,0.08,2023
banTLN,990,0.9,182.7,0.9,0.69,116.8,0.65,0.29,0.72,0.1,0.1,0.25,0.13,2023
carpeT1,1085,0.9,172.6,0.84,0.73,110.0,0.6,0.42,0.71,0.06,0.07,0.24,0.16,2023
takejDFM,469,0.9,177.6,0.85,0.71,115.7,0.62,0.34,0.73,0.09,0.09,0.34,0.16,2023
gyenDFM,224,0.9,168.4,0.88,0.67,109.6,0.61,0.29,0.69,0.08,0.07,0.31,0.1,2025
KnightBLG,585,0.9,182.7,0.86,0.7,123.1,0.63,0.3,0.73,0.06,0.13,0.28,0.13,2023
yyyDYG,216,0.9,177.4,0.88,0.68,121.1,0.63,0.18,0.72,0.08,0.09,0.25,0.05,2023
SSeeSDFM,620,0.9,164.0,0.82,0.7,105.6,0.58,0.36,0.71,0.05,0.07,0.35,0.15,2024
RetlaRVL,530,0.9,174.1,0.93,0.7,116.1,0.63,0.19,0.68,0.05,0.06,0.26,0.16,2024
saadhakKC,1081,0.9,191.1,0.85,0.71,126.9,0.62,0.37,0.73,0.09,0.13,0.2,0.14,2024
hoodyFKS,662,0.9,173.0,0.86,0.68,118.9,0.6,0.26,0.7,0.08,0.1,0.26,0.09,2024
MedusaSZ,620,0.9,183.1,0.89,0.68,123.2,0.64,0.2,0.72,0.1,0.12,0.3,0.12,2024
MisticFKS,683,0.9,175.1,0.88,0.73,116.8,0.62,0.33,0.71,0.06,0.08,0.31,0.11,2024
SkRossiVLT,341,0.89,197.0,0.91,0.67,126.7,0.7,0.2,0.77,0.11,0.16,0.24,0.2,2023
DeryeonGE,652,0.89,192.8,0.89,0.7,127.1,0.67,0.22,0.76,0.14,0.15,0.27,0.09,2024
carpeT1,929,0.89,177.9,0.88,0.74,117.7,0.63,0.33,0.71,0.08,0.08,0.25,0.12,2024
eKoNFX,334,0.89,163.2,0.82,0.71,108.4,0.58,0.38,0.7,0.06,0.07,0.24,0.12,2023
vanityC9,822,0.89,174.9,0.85,0.71,116.0,0.61,0.35,0.72,0.08,0.11,0.22,0.15,2024
murizzzSHI,554,0.89,175.9,0.85,0.65,121.6,0.62,0.35,0.73,0.07,0.12,0.25,0.12,2023
ceNderVIT,1293,0.89,167.9,0.85,0.69,111.1,0.6,0.34,0.71,0.08,0.12,0.27,0.13,2024
LakiaGEN,2405,0.89,170.4,0.88,0.72,115.3,0.59,0.34,0.66,0.07,0.08,0.26,0.23,2024
