player,rounds_played,vlr_rating,acs,kd,kast,adr,kpr,apr,dpr,fkpr,fdpr,hs_percent,cl_percent,year
YOUXLG,388,1.14,204.4,1.06,0.77,143.5,0.72,0.33,0.68,0.11,0.04,0.21,0.25,2023
LessVIT,1081,1.14,205.3,1.18,0.73,141.5,0.74,0.25,0.63,0.08,0.07,0.3,0.08,2024
Cryocells100T,1176,1.13,228.7,1.2,0.73,147.5,0.83,0.23,0.69,0.14,0.1,0.25,0.19,2024
Cryocells100T,224,1.13,224.4,1.16,0.79,149.5,0.79,0.27,0.68,0.13,0.07,0.29,0.14,2025
whzyToe,585,1.13,250.5,1.14,0.71,160.1,0.86,0.21,0.76,0.2,0.16,0.19,0.04,2023
keznitKRÜ,873,1.13,248.1,1.16,0.71,165.2,0.85,0.22,0.74,0.18,0.16,0.22,0.18,2023
SayfVIT,1293,1.13,225.4,1.19,0.7,146.6,0.81,0.22,0.68,0.13,0.13,0.28,0.13,2024
eeiu100T,1176,1.13,193.4,1.14,0.77,130.6,0.7,0.31,0.61,0.05,0.04,0.31,0.13,2024
JemkinRRQ,708,1.13,228.5,1.22,0.75,147.1,0.83,0.15,0.68,0.13,0.14,0.31,0.19,2024
AlfajerFNC,215,1.12,233.5,1.15,0.71,153.4,0.84,0.22,0.73,0.18,0.08,0.29,0.13,2025
leafG2,624,1.12,218.5,1.17,0.73,145.0,0.79,0.23,0.67,0.12,0.09,0.26,0.16,2025
t3xtureGEN,2405,1.12,236.7,1.2,0.71,152.6,0.84,0.16,0.7,0.19,0.14,0.27,0.18,2024
zekkenSEN,1720,1.12,254.4,1.18,0.72,163.7,0.88,0.22,0.74,0.22,0.17,0.24,0.16,2024
s0mNRG,215,1.12,224.7,1.13,0.78,143.6,0.77,0.45,0.68,0.09,0.07,0.27,0.19,2024
ChronicleFNC,1357,1.12,210.0,1.16,0.77,135.0,0.73,0.44,0.63,0.08,0.07,0.24,0.15,2023
s0mNRG,1437,1.12,204.9,1.16,0.77,130.9,0.75,0.39,0.65,0.08,0.07,0.25,0.18,2023
DerkeVIT,1357,1.12,252.2,1.24,0.71,164.1,0.87,0.18,0.7,0.24,0.19,0.24,0.16,2023
ErenTYL,287,1.11,215.7,1.08,0.77,151.7,0.78,0.32,0.73,0.1,0.08,0.27,0.06,2023
invyTS,891,1.11,209.9,1.06,0.74,135.4,0.75,0.47,0.71,0.08,0.07,0.31,0.18,2023
NiccDRG,325,1.11,208.9,0.99,0.76,144.0,0.69,0.4,0.7,0.1,0.05,0.24,0.25,2023
d4v41PRX,1332,1.11,196.5,1.12,0.77,130.3,0.7,0.41,0.63,0.06,0.05,0.27,0.15,2023
nAtsTL,1088,1.11,221.6,1.2,0.74,145.1,0.8,0.24,0.67,0.09,0.08,0.28,0.11,2023
CHICHOOEDG,1824,1.11,201.7,1.11,0.73,134.6,0.73,0.26,0.66,0.08,0.06,0.29,0.11,2024
SmoggyEDG,1824,1.11,204.0,1.13,0.75,135.1,0.73,0.36,0.65,0.08,0.08,0.28,0.14,2024
xfferoRRQ,645,1.11,212.8,1.09,0.74,134.1,0.74,0.32,0.68,0.09,0.06,0.23,0.13,2023
EliteKC,575,1.11,207.4,1.18,0.71,137.3,0.76,0.19,0.64,0.08,0.07,0.44,0.13,2024
IvyNS,381,1.1,189.4,1.14,0.78,122.3,0.71,0.33,0.63,0.07,0.04,0.31,0.21,2025
Fit1nhoBAR,973,1.1,216.5,1.14,0.75,144.0,0.79,0.22,0.69,0.17,0.13,0.28,0.11,2023
SayaplayerRC,1085,1.1,230.9,1.17,0.71,151.9,0.82,0.14,0.7,0.19,0.16,0.25,0.21,2023
GuranRA,216,1.1,206.7,1.05,0.75,126.8,0.71,0.51,0.68,0.07,0.07,0.23,0.21,2023
PersiaNS,381,1.1,194.4,1.08,0.78,127.0,0.69,0.45,0.64,0.06,0.06,0.28,0.21,2025
zekkenSEN,681,1.1,237.0,1.1,0.72,159.7,0.8,0.27,0.73,0.14,0.14,0.23,0.23,2023
nukkyeGX,973,1.1,207.3,1.09,0.73,141.7,0.72,0.32,0.66,0.08,0.07,0.22,0.15,2023
TenZSEN,1720,1.1,212.6,1.08,0.76,136.5,0.74,0.46,0.69,0.1,0.09,0.26,0.13,2024
kiNggLEV,1778,1.1,202.8,1.14,0.77,132.5,0.72,0.37,0.63,0.09,0.07,0.3,0.16,2024
AlfajerFNC,1591,1.1,218.6,1.17,0.73,146.1,0.78,0.2,0.67,0.11,0.09,0.3,0.12,2024
ZmjjKKEDG,1824,1.1,263.7,1.22,0.69,161.5,0.92,0.22,0.75,0.21,0.18,0.24,0.16,2024
sScaryBLD,652,1.1,208.5,1.09,0.77,135.9,0.73,0.38,0.67,0.08,0.06,0.26,0.13,2024
KaiTE,1428,1.1,216.1,1.15,0.7,143.4,0.79,0.18,0.69,0.15,0.13,0.29,0.04,2024
K4DAVRAM8,274,1.1,207.8,1.12,0.69,132.9,0.74,0.28,0.66,0.09,0.08,0.31,0.11,2024
KaronGEN,2405,1.1,197.1,1.1,0.76,128.3,0.71,0.41,0.65,0.08,0.06,0.32,0.16,2024
OXYC9,822,1.09,259.4,1.11,0.71,166.9,0.9,0.19,0.81,0.22,0.18,0.29,0.14,2024
grubinhoMKOI,740,1.09,197.5,1.07,0.75,126.1,0.7,0.35,0.65,0.08,0.08,0.34,0.12,2024
RieNsTH,2367,1.09,205.8,1.09,0.76,138.4,0.72,0.35,0.66,0.08,0.06,0.37,0.16,2024
keznitKRÜ,1178,1.09,243.6,1.14,0.71,162.7,0.84,0.21,0.74,0.19,0.15,0.26,0.1,2024
CloudGX,973,1.09,219.1,1.11,0.75,142.7,0.77,0.28,0.69,0.11,0.1,0.3,0.2,2023
LilCrazyDYG,216,1.09,232.7,1.17,0.68,145.2,0.85,0.12,0.72,0.18,0.17,0.32,0.22,2023
