player+team,rounds_played,vlr_rating,acs,kd,kast,adr,kpr,apr,dpr,fkpr,fdpr,hs_percent,cl_percent,year
MochiNOVO.NI,436,1.26,253.3,1.49,0.76,152.1,0.92,0.25,0.62,0.14,0.08,0.34,0.3,2025
mooseLand,266,1.26,229.6,1.55,0.77,148.5,0.83,0.23,0.54,0.13,0.05,0.24,0.12,2024
FiluMKOI,1004,1.26,262.7,1.41,0.75,169.4,0.96,0.19,0.68,0.23,0.15,0.3,0.23,2024
KsiazeSC,320,1.26,266.5,1.35,0.71,171.6,0.95,0.15,0.71,0.23,0.14,0.33,0.16,2024
FaelzinGLRS,212,1.26,250.8,1.43,0.69,157.9,0.91,0.08,0.64,0.14,0.09,0.34,0.18,2023
KlamranOver,208,1.26,289.8,1.47,0.74,177.9,1.0,0.18,0.68,0.25,0.16,0.22,0.17,2023
CainLand,316,1.26,221.4,1.29,0.78,143.4,0.82,0.41,0.63,0.09,0.04,0.19,0.3,2023
flow3r,200,1.26,281.4,1.2,0.77,186.0,0.95,0.21,0.79,0.22,0.1,0.32,0.2,2024
BizerraTL,1573,1.26,227.4,1.37,0.77,153.8,0.81,0.32,0.59,0.1,0.07,0.27,0.19,2024
AustralisSaD,1380,1.26,239.5,1.3,0.79,154.4,0.83,0.46,0.64,0.11,0.08,0.23,0.23,2024
aNNjaNSR.IN,662,1.26,271.9,1.32,0.7,178.6,0.97,0.18,0.73,0.18,0.16,0.37,0.18,2024
angelicXBR.W,204,1.26,300.4,1.26,0.73,192.3,0.99,0.21,0.78,0.24,0.17,0.2,0.0,2024
XerrithOKM,556,1.25,278.5,1.29,0.76,184.3,0.94,0.26,0.73,0.2,0.16,0.15,0.24,2023
Lulu,241,1.25,210.8,1.49,0.83,129.4,0.73,0.34,0.49,0.06,0.04,0.19,0.39,2023
opelPURR,1348,1.25,228.1,1.27,0.8,147.1,0.8,0.48,0.63,0.07,0.06,0.19,0.15,2023
PKXPEEK,392,1.25,236.8,1.39,0.72,156.0,0.88,0.16,0.63,0.07,0.06,0.27,0.21,2023
LeviathanFS,1029,1.25,236.0,1.26,0.75,151.4,0.86,0.41,0.68,0.11,0.07,0.33,0.16,2023
JerkWU,389,1.25,213.1,1.45,0.78,136.5,0.76,0.3,0.52,0.06,0.04,0.18,0.14,2023
stewJDG,1486,1.25,248.9,1.41,0.75,153.0,0.89,0.22,0.63,0.14,0.09,0.26,0.2,2023
VirtyyEXL,569,1.25,262.8,1.43,0.79,164.4,0.94,0.24,0.66,0.25,0.17,0.23,0.33,2025
