player+team,rounds_played,vlr_rating,acs,kd,kast,adr,kpr,apr,dpr,fkpr,fdpr,hs_percent,cl_percent,year
AkameTBS,1148,1.11,231.5,1.16,0.73,146.4,0.8,0.32,0.69,0.13,0.1,0.36,0.14,2023
yasherkaGnG.W,512,1.11,214.7,1.19,0.7,142.7,0.79,0.2,0.66,0.08,0.09,0.28,0.12,2023
LuzgardyDAS.GC,315,1.11,245.9,1.1,0.73,156.5,0.81,0.43,0.73,0.15,0.12,0.16,0.23,2023
riadiculousAlli,438,1.11,228.3,1.1,0.74,145.9,0.81,0.34,0.74,0.06,0.04,0.32,0.17,2025
RisorahTena,537,1.11,229.5,1.16,0.72,151.8,0.83,0.3,0.71,0.08,0.08,0.35,0.26,2025
KarraFLY,1107,1.11,191.4,1.11,0.78,119.5,0.68,0.5,0.61,0.08,0.07,0.33,0.15,2023
HANANC.GC,243,1.11,205.5,1.27,0.75,140.5,0.73,0.32,0.57,0.08,0.13,0.25,0.28,2023
daffyEter,1125,1.11,236.2,1.17,0.72,154.8,0.85,0.19,0.73,0.15,0.11,0.25,0.16,2023
NaviOXR.S,388,1.11,203.9,1.1,0.79,131.0,0.7,0.45,0.64,0.08,0.08,0.21,0.19,2023
A1kaDRX.C,660,1.11,213.2,1.14,0.73,147.9,0.74,0.18,0.65,0.1,0.06,0.22,0.22,2023
miwaLAZ,379,1.11,209.8,1.17,0.78,134.0,0.73,0.44,0.63,0.08,0.08,0.31,0.12,2025
ritsuGala,266,1.11,220.6,1.29,0.7,145.6,0.8,0.13,0.62,0.14,0.11,0.36,0.09,2025
evaGX.GC,859,1.11,199.9,1.18,0.76,132.2,0.73,0.26,0.62,0.06,0.06,0.29,0.2,2025
PuriTySK.N,923,1.11,229.4,1.17,0.74,143.4,0.8,0.33,0.68,0.15,0.11,0.26,0.23,2025
bambiKA,220,1.11,241.1,1.21,0.69,160.2,0.85,0.23,0.71,0.13,0.11,0.29,0.16,2025
ccheewyy,220,1.11,213.1,1.14,0.74,141.7,0.75,0.3,0.66,0.08,0.05,0.32,0.15,2025
oasisAKV.GC,253,1.11,224.9,1.24,0.79,152.7,0.79,0.23,0.64,0.17,0.11,0.29,0.26,2025
patipBCK,597,1.11,184.6,1.15,0.76,126.5,0.67,0.29,0.58,0.06,0.06,0.23,0.13,2025
Zeukos,317,1.11,210.3,1.12,0.7,141.7,0.78,0.32,0.69,0.05,0.08,0.2,0.11,2025
k1mRTL,253,1.11,226.4,1.16,0.69,148.7,0.81,0.26,0.7,0.1,0.12,0.28,0.27,2025
moshierooTWIS.O,282,1.11,216.1,1.09,0.77,141.7,0.77,0.49,0.71,0.08,0.08,0.3,0.15,2025
KiraSIKO.GC,422,1.11,237.0,1.13,0.69,152.6,0.8,0.17,0.71,0.18,0.14,0.21,0.24,2025
nAtsTL,1088,1.11,221.6,1.2,0.74,145.1,0.8,0.24,0.67,0.09,0.08,0.28,0.11,2023
siNggROA,436,1.11,239.4,1.09,0.75,159.8,0.8,0.27,0.74,0.21,0.14,0.27,0.1,2024
rainssaBACK,772,1.11,218.7,1.16,0.76,142.9,0.77,0.37,0.66,0.1,0.08,0.29,0.18,2024
FelceNE,851,1.11,210.6,1.17,0.78,138.2,0.78,0.32,0.66,0.07,0.05,0.32,0.26,2024
IrisBellBehi,487,1.11,220.0,1.16,0.74,139.6,0.79,0.33,0.68,0.07,0.07,0.3,0.25,2024
xfferoRRQ,645,1.11,212.8,1.09,0.74,134.1,0.74,0.32,0.68,0.09,0.06,0.23,0.13,2023
invyTS,891,1.11,209.9,1.06,0.74,135.4,0.75,0.47,0.71,0.08,0.07,0.31,0.18,2023
NiccDRG,325,1.11,208.9,0.99,0.76,144.0,0.69,0.4,0.7,0.1,0.05,0.24,0.25,2023
d4v41PRX,1332,1.11,196.5,1.12,0.77,130.3,0.7,0.41,0.63,0.06,0.05,0.27,0.15,2023
ErenTYL,287,1.11,215.7,1.08,0.77,151.7,0.78,0.32,0.73,0.1,0.08,0.27,0.06,2023
PaulaNobre,623,1.11,212.8,1.09,0.72,137.7,0.74,0.32,0.68,0.09,0.09,0.32,0.22,2024
jademwahSK.N,1648,1.11,227.7,1.15,0.72,146.1,0.79,0.33,0.69,0.12,0.12,0.22,0.19,2024
Jazzyk1nsFLY,1135,1.11,224.1,1.2,0.74,151.4,0.77,0.24,0.64,0.13,0.13,0.21,0.22,2024
tcondaZEN.GC,1003,1.11,248.5,1.16,0.69,161.8,0.87,0.18,0.75,0.2,0.19,0.29,0.17,2024
Amy1neLXT,384,1.11,241.5,1.26,0.76,157.9,0.88,0.14,0.7,0.16,0.15,0.33,0.21,2024
alexisSRG,1908,1.11,175.7,1.15,0.81,111.0,0.63,0.57,0.55,0.05,0.05,0.3,0.21,2024
YuRinChiFL.GC,347,1.11,234.5,1.2,0.71,146.1,0.82,0.2,0.69,0.16,0.13,0.23,0.14,2024
bellatr1x,525,1.11,239.0,1.22,0.71,153.8,0.85,0.24,0.7,0.18,0.14,0.38,0.18,2024
RosaSL9,1004,1.11,235.6,1.2,0.75,153.0,0.82,0.24,0.69,0.14,0.13,0.2,0.19,2024
zeeel,263,1.11,230.5,1.19,0.71,149.4,0.81,0.16,0.68,0.17,0.08,0.21,0.13,2024
theozyUW.GC,921,1.11,231.5,1.13,0.71,153.6,0.81,0.3,0.72,0.12,0.13,0.31,0.16,2024
yuzuEOTO,458,1.11,201.3,1.11,0.74,132.4,0.72,0.37,0.65,0.07,0.05,0.24,0.32,2024
f1ykMIR.GC,661,1.11,207.9,1.19,0.71,139.3,0.75,0.17,0.64,0.08,0.05,0.36,0.21,2024
paniniYFP,583,1.11,227.3,1.19,0.78,145.0,0.78,0.36,0.66,0.1,0.09,0.28,0.15,2024
SeoldamRID,1331,1.11,236.4,1.23,0.74,145.7,0.85,0.22,0.69,0.17,0.12,0.22,0.17,2024
bnjNOTT,530,1.11,204.7,1.13,0.76,136.6,0.72,0.29,0.64,0.07,0.07,0.3,0.21,2024
AleOF,678,1.11,230.1,1.16,0.73,151.4,0.82,0.21,0.7,0.19,0.18,0.24,0.19,2024
MintyRID,763,1.11,216.3,1.16,0.72,139.0,0.77,0.28,0.66,0.13,0.1,0.26,0.15,2024
RecoilTSM,448,1.11,213.3,1.18,0.76,141.2,0.78,0.35,0.66,0.04,0.05,0.34,0.26,2024
1mp2k,309,1.11,214.3,1.19,0.75,143.5,0.79,0.2,0.66,0.11,0.08,0.31,0.15,2024
FireBallOpsBLUE,1099,1.11,222.8,1.2,0.73,150.4,0.82,0.19,0.69,0.09,0.08,0.36,0.13,2024
appA5HEA,586,1.11,218.2,1.1,0.71,145.8,0.77,0.29,0.7,0.11,0.1,0.28,0.13,2024
Tweeya,579,1.11,230.4,1.11,0.75,152.3,0.81,0.34,0.73,0.06,0.07,0.17,0.13,2024
SayuSaD,365,1.11,197.1,1.03,0.76,130.8,0.69,0.49,0.67,0.04,0.05,0.26,0.18,2024
citrusKS,872,1.11,207.2,1.21,0.74,133.7,0.74,0.3,0.61,0.08,0.08,0.2,0.22,2024
JULIASNG,424,1.11,207.6,1.23,0.78,136.5,0.78,0.28,0.63,0.08,0.06,0.39,0.18,2024
ArinJiLLX,708,1.11,243.2,1.15,0.76,158.9,0.83,0.27,0.72,0.15,0.13,0.2,0.25,2024
reachNLG,828,1.11,251.5,1.1,0.7,163.2,0.84,0.27,0.76,0.19,0.13,0.18,0.19,2024
GlanceKC.GC,1295,1.11,201.8,1.11,0.75,134.9,0.71,0.35,0.64,0.06,0.05,0.27,0.18,2024
Kross UnityYDZ.GC,703,1.11,199.7,1.04,0.73,130.7,0.71,0.44,0.68,0.06,0.07,0.29,0.14,2024
MerununtiusMTR,476,1.11,196.3,1.04,0.78,129.8,0.68,0.53,0.65,0.07,0.08,0.22,0.18,2024
KyxhyOXEN.GC,750,1.11,223.4,1.12,0.71,152.2,0.79,0.19,0.71,0.13,0.08,0.36,0.13,2024
Lil BobMDK,1007,1.11,214.2,1.13,0.73,142.0,0.76,0.36,0.67,0.08,0.07,0.28,0.21,2024
valusiaPros,545,1.11,199.3,1.16,0.77,128.3,0.72,0.4,0.62,0.07,0.07,0.26,0.16,2024
DazzleBlac,250,1.11,265.1,1.17,0.68,169.4,0.93,0.18,0.79,0.24,0.15,0.3,0.15,2024
nenuayFS.P,675,1.11,207.5,1.12,0.79,130.6,0.75,0.42,0.67,0.06,0.04,0.29,0.17,2024
AyumiiiRRQ.K,876,1.11,231.4,1.15,0.74,152.2,0.79,0.31,0.69,0.16,0.15,0.23,0.19,2024
sayuriMIBR.GC,1563,1.11,188.8,1.1,0.8,118.3,0.65,0.54,0.59,0.06,0.06,0.19,0.17,2024
Magician,215,1.11,205.5,1.17,0.7,139.1,0.78,0.2,0.67,0.08,0.07,0.31,0.11,2024
CORONELFrac,714,1.11,200.9,1.09,0.71,134.3,0.72,0.36,0.66,0.07,0.06,0.31,0.14,2024
drepeex1M,303,1.11,214.9,1.18,0.68,145.5,0.79,0.15,0.67,0.06,0.08,0.27,0.04,2024
miniatureDTL,247,1.11,247.3,1.14,0.74,160.4,0.83,0.24,0.73,0.21,0.17,0.21,0.33,2024
BerserXBME,348,1.11,207.4,1.19,0.75,135.8,0.73,0.2,0.61,0.09,0.08,0.26,0.19,2025
dgzinLOUD,437,1.11,235.1,1.19,0.7,151.7,0.84,0.16,0.7,0.21,0.13,0.29,0.06,2025
LysoarWOL,373,1.11,189.8,0.88,0.73,143.3,0.66,0.23,0.75,0.12,0.07,0.31,0.0,2025
JrmzieFSN,369,1.1,226.2,1.11,0.74,151.4,0.79,0.28,0.71,0.12,0.08,0.38,0.14,2024
florescentAPK,283,1.1,239.1,1.13,0.66,158.6,0.86,0.16,0.76,0.17,0.15,0.35,0.08,2025
amyG2.G,601,1.1,211.4,1.18,0.73,141.7,0.77,0.22,0.65,0.08,0.09,0.31,0.15,2025
YashiBLAZ,314,1.1,220.4,1.09,0.73,147.3,0.74,0.28,0.68,0.12,0.1,0.29,0.07,2025
BabaRoga Aim,237,1.1,259.0,1.13,0.72,165.0,0.89,0.21,0.79,0.2,0.15,0.24,0.0,2024
GuranRA,216,1.1,206.7,1.05,0.75,126.8,0.71,0.51,0.68,0.07,0.07,0.23,0.21,2023
SayaplayerRC,1085,1.1,230.9,1.17,0.71,151.9,0.82,0.14,0.7,0.19,0.16,0.25,0.21,2023
Fit1nhoBAR,973,1.1,216.5,1.14,0.75,144.0,0.79,0.22,0.69,0.17,0.13,0.28,0.11,2023
biazikKRÜ.B,1237,1.1,197.0,1.12,0.79,135.3,0.68,0.39,0.61,0.1,0.06,0.24,0.15,2024
Freyaaa,296,1.1,217.4,1.11,0.74,145.1,0.77,0.29,0.69,0.13,0.11,0.21,0.16,2024
Meow16KDXE.GC,282,1.1,222.4,1.13,0.72,143.6,0.79,0.26,0.71,0.13,0.14,0.22,0.1,2024
CarmenG7anjo,1041,1.1,197.7,1.16,0.71,135.5,0.71,0.19,0.61,0.08,0.07,0.27,0.1,2024
ZoeWild,226,1.1,245.9,1.15,0.68,157.1,0.86,0.17,0.74,0.18,0.15,0.23,0.05,2025
AustralisSaD,568,1.1,187.5,1.19,0.77,119.7,0.68,0.32,0.57,0.09,0.04,0.27,0.18,2025
LuzgardyDAS.GC,1296,1.1,217.7,1.12,0.74,140.2,0.76,0.41,0.68,0.09,0.08,0.2,0.17,2024
FamouzBME,348,1.1,251.8,1.18,0.75,159.2,0.89,0.21,0.75,0.22,0.18,0.19,0.11,2025
isaaTL,308,1.1,194.4,1.19,0.74,129.4,0.71,0.28,0.59,0.1,0.08,0.29,0.13,2025
allie2G.GC,703,1.1,193.3,1.12,0.78,127.2,0.7,0.46,0.63,0.06,0.06,0.33,0.24,2025
Ballooncat,462,1.1,249.2,1.15,0.68,162.5,0.87,0.19,0.76,0.21,0.15,0.26,0.1,2025
qu1ckz,754,1.1,216.5,1.16,0.76,147.8,0.77,0.34,0.67,0.07,0.06,0.32,0.12,2025
ZanatsuRED,1451,1.1,249.5,1.16,0.72,161.8,0.86,0.2,0.74,0.23,0.17,0.25,0.17,2024
CrunchyBOBO,796,1.1,208.3,1.1,0.75,135.2,0.74,0.44,0.67,0.11,0.1,0.33,0.15,2024
PapicamROSE,540,1.1,197.7,1.12,0.73,136.0,0.71,0.18,0.63,0.09,0.06,0.25,0.14,2024
mutoRC,1430,1.1,207.7,1.09,0.77,138.9,0.72,0.39,0.66,0.08,0.06,0.29,0.17,2024
VicoLAZY,277,1.1,240.5,1.22,0.71,156.2,0.87,0.18,0.71,0.12,0.13,0.27,0.17,2024
SkyIsBlueMGLZ,244,1.1,241.1,1.13,0.74,151.7,0.85,0.3,0.75,0.16,0.14,0.26,0.17,2024
KevziiZOL,1660,1.1,199.7,1.08,0.73,136.6,0.71,0.35,0.66,0.08,0.06,0.3,0.18,2024
mikester,497,1.1,238.1,1.16,0.72,154.3,0.82,0.23,0.71,0.17,0.09,0.28,0.12,2024
Pl3H0nno T,346,1.1,216.7,1.16,0.71,137.1,0.75,0.19,0.65,0.16,0.12,0.31,0.09,2024
icyBalk,839,1.1,232.0,1.11,0.73,154.1,0.81,0.23,0.73,0.16,0.1,0.28,0.09,2024
CyroBNDT,202,1.1,237.6,1.03,0.68,164.1,0.79,0.27,0.77,0.2,0.13,0.21,0.15,2024
LIGHTETTEOne,491,1.1,223.4,1.2,0.74,144.6,0.8,0.27,0.67,0.16,0.13,0.3,0.27,2024
Nanny,206,1.1,203.9,1.28,0.74,133.6,0.83,0.17,0.65,0.09,0.08,0.22,0.11,2024
SalmonRolls,283,1.1,209.8,1.13,0.77,137.6,0.75,0.34,0.66,0.07,0.04,0.22,0.2,2024
ccheewyy,296,1.1,231.5,1.05,0.74,147.5,0.79,0.45,0.75,0.1,0.09,0.29,0.07,2024
nickyLEV.GC,1464,1.1,203.9,1.09,0.75,131.1,0.73,0.37,0.66,0.09,0.06,0.31,0.19,2024
NozzBOBO,1330,1.1,198.4,1.09,0.75,131.2,0.7,0.46,0.64,0.08,0.08,0.29,0.21,2024
starkkFLK,1187,1.1,189.5,1.11,0.76,125.4,0.67,0.36,0.6,0.07,0.06,0.25,0.14,2024
STYRONMTV,1646,1.1,189.5,1.15,0.76,125.4,0.67,0.35,0.59,0.07,0.05,0.27,0.23,2024
Saitama,835,1.1,221.1,1.05,0.73,145.9,0.75,0.38,0.72,0.11,0.07,0.31,0.12,2024
al0ranteFKS,1246,1.1,217.5,1.17,0.7,144.7,0.78,0.2,0.67,0.09,0.07,0.4,0.14,2024
kissDead,1463,1.1,229.3,1.12,0.75,152.1,0.8,0.3,0.72,0.15,0.14,0.31,0.23,2024
addisonGekk,469,1.1,248.7,1.19,0.74,153.3,0.87,0.22,0.74,0.18,0.14,0.38,0.05,2024
heartlesswows,331,1.1,240.1,1.15,0.71,161.2,0.85,0.18,0.74,0.18,0.21,0.24,0.28,2024
JuicyWOL,1423,1.1,227.1,1.19,0.74,148.2,0.8,0.22,0.67,0.17,0.14,0.23,0.17,2024
AcerolaLAZY,1022,1.1,210.5,1.16,0.73,138.3,0.77,0.3,0.66,0.08,0.07,0.32,0.15,2024
d3murGNG,835,1.1,250.5,1.13,0.7,165.3,0.86,0.21,0.76,0.22,0.19,0.23,0.24,2024
Trendy,251,1.1,215.8,1.06,0.7,104.6,0.75,0.27,0.71,0.08,0.05,0.24,0.22,2025
ZexySLT,548,1.1,242.4,1.09,0.7,153.8,0.84,0.24,0.77,0.19,0.16,0.29,0.21,2025
ReverieRVL,1196,1.1,204.4,1.13,0.75,136.3,0.73,0.32,0.65,0.06,0.06,0.31,0.16,2024
Trime,207,1.1,251.4,1.12,0.69,170.3,0.89,0.19,0.79,0.22,0.22,0.22,0.05,2024
bstrddTL,636,1.1,243.9,1.14,0.7,162.8,0.84,0.19,0.74,0.17,0.17,0.27,0.19,2024
riyabtw,850,1.1,229.6,1.15,0.71,150.3,0.82,0.18,0.71,0.13,0.12,0.29,0.22,2024
HansiaOG,1303,1.1,237.0,1.12,0.71,158.2,0.82,0.21,0.73,0.13,0.12,0.23,0.12,2024
rowancy6K,1020,1.1,203.9,1.13,0.7,136.3,0.74,0.26,0.65,0.09,0.06,0.25,0.19,2024
ZamalVLYN,902,1.1,255.3,1.12,0.72,162.0,0.86,0.23,0.77,0.24,0.2,0.27,0.14,2024
skubaCUBE,900,1.1,195.4,1.14,0.76,123.6,0.72,0.37,0.63,0.07,0.07,0.29,0.16,2024
NeonAMB,365,1.1,224.8,1.15,0.72,142.9,0.79,0.2,0.69,0.17,0.16,0.16,0.13,2024
CyvOphVIT,448,1.1,234.0,1.14,0.76,153.9,0.82,0.29,0.72,0.13,0.12,0.23,0.1,2024
YAYAHIT,219,1.1,202.5,1.03,0.74,131.3,0.69,0.34,0.67,0.09,0.05,0.33,0.25,2024
DogoGree,916,1.1,223.8,1.17,0.73,143.6,0.79,0.21,0.68,0.1,0.1,0.26,0.17,2024
spoofCrim,536,1.1,239.6,1.16,0.71,152.4,0.84,0.21,0.72,0.16,0.13,0.22,0.17,2024
Azukiarai,238,1.1,236.6,1.18,0.73,150.1,0.87,0.19,0.74,0.09,0.08,0.3,0.08,2024
FweshestFC,434,1.1,210.0,1.14,0.77,139.5,0.75,0.37,0.65,0.09,0.07,0.36,0.1,2024
AcMeFN,444,1.1,221.4,1.03,0.76,142.0,0.74,0.51,0.71,0.08,0.09,0.28,0.16,2024
BlessedBOBO,1001,1.1,213.3,1.12,0.74,136.8,0.73,0.36,0.66,0.11,0.1,0.28,0.17,2024
MythFOC,1453,1.1,190.9,1.07,0.76,121.8,0.66,0.44,0.61,0.06,0.06,0.23,0.19,2024
AFoxxRAAD,229,1.1,203.7,1.16,0.66,136.3,0.75,0.18,0.65,0.06,0.05,0.39,0.13,2024
Kaah2G.GC,703,1.1,203.9,1.11,0.78,130.4,0.7,0.48,0.64,0.06,0.09,0.3,0.2,2025
Boni,899,1.1,212.7,1.1,0.72,138.6,0.75,0.35,0.68,0.11,0.12,0.24,0.22,2024
aurahhPros,204,1.1,237.5,1.13,0.71,152.8,0.85,0.14,0.75,0.14,0.15,0.33,0.17,2024
soloq1,207,1.1,203.4,1.04,0.71,135.1,0.72,0.43,0.69,0.08,0.08,0.18,0.25,2024
SaQRGB,221,1.1,200.6,1.12,0.77,133.1,0.7,0.43,0.63,0.11,0.08,0.34,0.12,2024
rubkkoideSHI,1432,1.1,213.6,1.14,0.73,140.2,0.75,0.31,0.66,0.12,0.11,0.31,0.21,2024
htmHVND,370,1.1,206.9,1.09,0.77,130.9,0.73,0.49,0.66,0.06,0.1,0.28,0.17,2024
HANERIG.L,643,1.1,212.3,1.13,0.76,135.7,0.76,0.39,0.67,0.08,0.07,0.32,0.27,2024
RYRYARC,608,1.1,234.1,1.15,0.71,156.4,0.79,0.21,0.69,0.12,0.11,0.24,0.09,2024
SeifYG,740,1.1,206.3,1.05,0.73,136.0,0.75,0.32,0.71,0.06,0.05,0.31,0.16,2024
SnapssKTN,367,1.1,206.1,1.08,0.76,133.5,0.7,0.43,0.65,0.07,0.06,0.33,0.16,2024
kimmyLESS,472,1.1,202.3,1.23,0.77,132.6,0.77,0.23,0.63,0.08,0.07,0.29,0.11,2024
YunoVENI,359,1.1,228.5,1.2,0.72,149.6,0.83,0.27,0.69,0.13,0.13,0.26,0.2,2024
dgzinLOUD,1352,1.1,250.5,1.19,0.71,159.5,0.88,0.16,0.74,0.2,0.15,0.28,0.16,2024
gobera2G,1332,1.1,235.8,1.15,0.71,155.0,0.83,0.18,0.72,0.19,0.17,0.21,0.14,2024
SHINSEIKZ,813,1.1,258.0,1.2,0.67,167.8,0.91,0.15,0.76,0.22,0.18,0.31,0.13,2024
SovanoAPH,718,1.1,253.4,1.12,0.71,163.8,0.88,0.17,0.79,0.23,0.18,0.26,0.12,2024
twilight,468,1.1,207.6,1.14,0.73,140.5,0.75,0.24,0.65,0.11,0.07,0.36,0.19,2024
OkeanosM80,1513,1.1,258.1,1.19,0.73,164.4,0.9,0.2,0.75,0.23,0.16,0.26,0.15,2024
baddyGDSY,533,1.1,199.5,1.08,0.74,131.0,0.69,0.44,0.64,0.11,0.08,0.25,0.2,2024
skylenSUP,630,1.1,205.3,1.12,0.77,132.9,0.72,0.42,0.64,0.07,0.05,0.34,0.21,2024
erdeLEV.AC,1085,1.1,217.3,1.11,0.72,144.8,0.76,0.33,0.68,0.09,0.09,0.27,0.16,2024
TechnoS8UL,317,1.1,214.3,1.1,0.77,135.3,0.76,0.41,0.69,0.1,0.07,0.3,0.21,2025
CloyBFX,673,1.1,210.9,1.1,0.75,137.0,0.74,0.4,0.68,0.09,0.11,0.3,0.16,2025
CfaxOver,395,1.1,198.6,1.16,0.76,127.8,0.7,0.39,0.61,0.05,0.05,0.29,0.23,2024
NINJATL.AC,905,1.1,213.1,1.14,0.74,139.8,0.78,0.29,0.69,0.1,0.09,0.34,0.16,2024
nvrfearThe,467,1.1,204.1,1.16,0.77,135.0,0.73,0.29,0.63,0.08,0.06,0.29,0.11,2024
mikaBTR,738,1.1,201.7,1.07,0.73,132.0,0.71,0.34,0.66,0.09,0.06,0.27,0.19,2024
TaeM1nSIB,294,1.1,231.0,1.08,0.75,147.1,0.78,0.35,0.72,0.17,0.15,0.24,0.12,2024
vitaMYTH,228,1.1,255.0,1.18,0.71,160.2,0.9,0.2,0.76,0.21,0.19,0.3,0.08,2024
d1sruptUNC.DN,1355,1.1,214.2,1.1,0.74,141.1,0.74,0.34,0.68,0.1,0.08,0.27,0.17,2024
Eso177EXO,1950,1.1,215.6,1.19,0.72,143.7,0.78,0.19,0.65,0.11,0.08,0.28,0.18,2024
Lafura,260,1.1,224.2,1.2,0.69,145.0,0.79,0.19,0.66,0.14,0.12,0.26,0.22,2025
lover,718,1.1,202.2,1.12,0.74,135.8,0.73,0.23,0.65,0.05,0.05,0.29,0.16,2025
evvFLY,533,1.1,193.3,1.23,0.77,127.2,0.71,0.25,0.58,0.07,0.05,0.33,0.18,2025
lexaTWIS.O,282,1.1,218.2,1.21,0.73,148.5,0.81,0.19,0.67,0.09,0.08,0.29,0.03,2025
JoXJoRID,569,1.1,206.3,1.13,0.75,137.2,0.72,0.38,0.63,0.09,0.08,0.22,0.12,2025
Inst1nctSVGE,276,1.1,200.5,1.07,0.71,128.9,0.7,0.4,0.65,0.08,0.07,0.22,0.18,2025
ponixLEV.GC,298,1.1,187.8,1.1,0.8,122.5,0.66,0.46,0.6,0.07,0.05,0.29,0.29,2025
sokoEXG.GC,255,1.1,242.3,1.29,0.76,158.1,0.91,0.24,0.71,0.11,0.11,0.28,0.23,2025
isa,276,1.1,209.7,1.07,0.72,141.8,0.73,0.35,0.68,0.05,0.07,0.23,0.03,2025
unstableFLY,465,1.1,215.3,1.25,0.76,134.0,0.78,0.27,0.62,0.14,0.12,0.3,0.19,2025
viiZEN.GC,318,1.1,248.6,1.12,0.68,158.7,0.86,0.18,0.77,0.2,0.17,0.3,0.25,2025
westsideGX,1574,1.1,205.5,1.17,0.72,138.8,0.75,0.19,0.64,0.09,0.07,0.39,0.22,2024
Pa1zeGMX,1552,1.1,248.6,1.17,0.7,159.0,0.86,0.18,0.74,0.22,0.2,0.25,0.16,2024
neptuNoRBT,1009,1.1,207.0,1.08,0.74,137.8,0.72,0.38,0.66,0.06,0.08,0.27,0.18,2024
FamsiiHGE,890,1.1,250.3,1.16,0.72,161.1,0.87,0.24,0.75,0.19,0.15,0.27,0.23,2024
KatuNOVO,1095,1.1,222.0,1.13,0.72,145.9,0.78,0.3,0.68,0.13,0.11,0.37,0.21,2024
dippyFrui,447,1.1,213.7,1.13,0.71,142.7,0.76,0.18,0.68,0.09,0.07,0.29,0.19,2025
loll9GMB,202,1.1,238.2,1.19,0.73,152.4,0.82,0.19,0.69,0.11,0.17,0.27,0.07,2025
iantoEGN,755,1.1,210.6,1.09,0.72,142.0,0.72,0.31,0.66,0.09,0.08,0.22,0.19,2025
LucaEXO,548,1.1,199.0,1.14,0.73,130.5,0.72,0.23,0.63,0.07,0.05,0.25,0.18,2025
YigoxFB,616,1.1,226.4,1.17,0.72,147.2,0.81,0.2,0.69,0.12,0.08,0.31,0.2,2025
NilaYIPP,940,1.1,198.1,1.16,0.72,134.4,0.71,0.21,0.61,0.09,0.06,0.22,0.17,2024
lissaSCCP.IN,1558,1.1,225.5,1.19,0.71,149.6,0.81,0.23,0.68,0.11,0.12,0.36,0.17,2024
MiniNiwdeFSN,648,1.1,203.8,1.09,0.74,129.3,0.72,0.38,0.66,0.06,0.05,0.25,0.2,2025
PotterFS,558,1.1,230.1,1.17,0.73,140.1,0.81,0.17,0.69,0.18,0.13,0.3,0.16,2025
mizS8UL,461,1.1,255.7,1.18,0.69,161.1,0.87,0.21,0.74,0.22,0.21,0.21,0.15,2025
xNeon,358,1.1,222.6,1.16,0.76,146.4,0.81,0.37,0.7,0.09,0.11,0.28,0.08,2025
PxS2G,1262,1.1,248.1,1.14,0.73,164.2,0.85,0.21,0.74,0.21,0.17,0.23,0.16,2024
pepaTDA,265,1.1,212.6,1.11,0.7,138.8,0.77,0.34,0.69,0.08,0.06,0.33,0.22,2024
DiivZ,218,1.1,228.2,1.14,0.68,151.0,0.82,0.21,0.72,0.07,0.06,0.34,0.18,2024
ligasaKLG,320,1.1,204.1,1.13,0.67,139.8,0.79,0.19,0.7,0.08,0.13,0.32,0.14,2025
UNFAKEJL,569,1.1,211.6,1.13,0.75,142.2,0.74,0.31,0.65,0.11,0.06,0.38,0.16,2025
NekoDFM.GC,419,1.1,246.6,1.17,0.73,156.4,0.85,0.19,0.73,0.2,0.17,0.18,0.2,2024
No CommenttARC.GC,616,1.1,233.7,1.16,0.71,157.1,0.84,0.21,0.72,0.14,0.12,0.25,0.11,2024
svvINFX,1539,1.1,219.3,1.14,0.71,142.9,0.78,0.25,0.68,0.1,0.07,0.3,0.16,2024
SleepycakeyRIMA,382,1.1,250.5,1.15,0.77,165.0,0.85,0.28,0.74,0.21,0.14,0.16,0.16,2025
yuranDIG,918,1.1,203.5,1.11,0.73,136.5,0.73,0.3,0.66,0.08,0.07,0.26,0.16,2025
FizzyMOUZ,371,1.1,215.6,1.24,0.7,141.6,0.79,0.16,0.64,0.1,0.08,0.34,0.15,2025
LimeMOUZ,371,1.1,210.8,1.12,0.74,145.0,0.76,0.29,0.67,0.11,0.11,0.35,0.18,2025
ObnoksMOUZ,371,1.1,227.5,1.15,0.75,144.9,0.81,0.38,0.71,0.08,0.07,0.29,0.22,2025
bucherUCAM,492,1.1,205.3,1.18,0.76,136.5,0.75,0.18,0.63,0.09,0.05,0.38,0.13,2025
tokyoROSE,626,1.1,210.7,1.16,0.77,143.1,0.76,0.24,0.65,0.07,0.06,0.31,0.1,2023
AztKk19,567,1.1,212.3,1.02,0.78,131.8,0.71,0.54,0.69,0.09,0.06,0.2,0.28,2023
sarahcatSRG,339,1.1,229.8,1.12,0.76,145.3,0.79,0.42,0.71,0.11,0.11,0.28,0.11,2023
PeroOwOG8S,323,1.1,201.2,1.12,0.73,132.4,0.73,0.28,0.65,0.07,0.06,0.26,0.13,2023
TeaguePLUG,543,1.1,198.7,1.05,0.77,131.6,0.68,0.46,0.65,0.11,0.06,0.22,0.13,2023
OMG,262,1.1,233.8,1.13,0.7,155.3,0.81,0.23,0.71,0.21,0.15,0.19,0.25,2023
ZimoTWIS,1136,1.1,199.0,1.14,0.77,129.6,0.71,0.36,0.62,0.07,0.06,0.34,0.17,2023
BrofeldRC,927,1.1,201.9,1.2,0.73,132.9,0.73,0.23,0.61,0.09,0.09,0.25,0.17,2023
citrousHIT,575,1.1,203.6,1.04,0.76,132.5,0.7,0.44,0.67,0.06,0.09,0.21,0.06,2023
